,Characters,Quotes,Scenes
11787,Elzar,"Spargle, huh? What he do, bland himself to death?",1065
11788,Bender,No. He was eating some food I made and by a crazy coincidence his stomach exploded. Now I'm here to avenge him.,1065
11789,Elzar,"OK, but it seems like you're the one who killed him.",1065
11790,Bender,Maybe so but you are his sworn enemy. I challenge you to a battle of the chefs.,1065
11791,Customer,Scandalous!,1065
11792,Elzar,Very well. We'll meet on the ancient televised battleground of Kitchen Coliseum. Whosever meal is best will claim the title of Iron Cook.,1065
11793,Bender,"Iron Cook, eh? I can't lose. I'm 30% iron!  You're going down! Uh, also I had a reservation for one, under ""Dr. Bender"".",1065
11794,[Scene,The Planet Express ship crosses the city and lands outside the Kitchen Coliseum .],1066
11795,Hiroki,"Please welcome the superintendent of Kitchen Coliseum, Chairman Koji!  No robot chef has ever competed here but today one has barged his way in to challenge for the title of...",1067
11796,Koji,Iron Cookuru!,1067
11797,Fry,Yeah! You show 'em!,1067
11798,Hiroki,Let's meet today's celebrity judges,1067
11799,Tate,"Konnichiwa, brother!",1067
11800,Hiroki,"TV anchor-monster, Morbo.",1067
11801,Morbo,"Greetings, pathetic host.",1067
11802,Hiroki,"And a woman who ended a thousand-year galactic war with her apple dandies, Martha Stewart's head.",1067
11803,Stewart,The secret is fresh pork.,1067
11804,Hiroki,"And now, Chairman Koji will present the theme ingredient to be used in every dish today.",1067
11805,Bender,"If it's chicken, chicken c la king; if it's fish, fish à la king; if it's turkey, fish à la king.",1067
11806,Koji,Soylent Greuu!,1067
11807,Hiroki,"Soylent Green, a classic ingredient of gourmet cooking. And the battle is on.  Aki, what's Elzar making?",1067
11808,Aki,"Well, Hiroki-san, when I asked him, he asked what business it was of mine and conjectured that my mother was a prostitute.",1067
11809,Stewart,In the English countryside many prostitutes decorate their rooms with festive gourds.,1067
11810,Female Announcer,30 minutes to go.,1067
11811,Hiroki,Look at Bender roll that dough!,1067
11812,Tate,"I've never seen such confident, powerful strokes of the ass!",1067
11813,Stewart,You've never seen mine!,1067
11814,Tate,"No, I haven't!",1067
11815,Female Announcer,Fifteen minutes remaining.,1067
11816,Hiroki,"The iron cook is bringing in his signature creation, a working pastry replica of downtown Venice.",1067
11817,Man,Commemorative turkey basters. Get your commemorative turkey basters.,1067
11818,Fry,"Yo, hook me up. My turkey is dry and I've tried everything.  Oh, right. Never mind.",1067
11819,Zoidberg,"Oh, the guilt! The unbearable guilt!",1067
11820,Female Announcer,Fifteen seconds.,1067
11821,Elzar,Bam!,1067
11822,Female Announcer,Ten seconds.,1067
11823,Bender,"Master Spargle, if you can hear me up there in that ditch where I left you, this is for you.",1067
11824,Koji,Time uperuu!,1067
11825,Hiroki,The iron cook Neptunian has gone all out to please the judges. He's even garnished the salad with $100 bills. Let's see what they think.,1067
11826,Tate,Mmm. Soylent green is my kind of people!,1067
11827,Morbo,Scrumptious. Morbo will store this in his sack for future digestion.,1067
11828,Stewart,I'm swimming in my own soylent waste. It's a good thing.,1067
11829,Hiroki,"Next up, challenger Bender. A student of the legendary Helmut Spargle, Bender is some sort of wonderful mechanical man.",1067
11830,Stewart,"Ooh, delicious!",1067
11831,Tate,"This food looks kind of funky, but it tastes kind of fun-kay!",1067
11832,Morbo,The challenger's ugly food has shown us that even hideous things can be sweet on the inside.,1067
11833,Hiroki,"And now, judgement. The winner will become the new iron cook, the loser is doomed to scrub.  Whose confection will achieve perfection? Whose foodstuff will be the good stuff?",1067
11834,Koji,Challengeruu Benderuu!,1067
11835,Fry,Yay!,1067
11836,Farnsworth,That's my robot! I own him!,1067
11837,Bender,"You honour me, Chairman Koji.",1067
11838,Koji,"Domo arigato, Mr. Roboto.",1067
11839,Bender,"Chairman-san, I came here with one goal",1067
11840,Elzar,No question.,1067
11841,Bender,"But the true Zen of flavour is not found in a coliseum. It is found in a small kitchen, with friends. That is why I decline the title of Iron Cook and accept only the lesser title of ""Zinc Saucier"", which I just made up. Also, it comes with double prize money.",1067
11842,Zoidberg,Wait! Everyone must know,1067
11843,Koji,Oh! That sword cost 5000 dolluu!,1067
11844,Zoidberg,Fry did it!,1067
11845,Bender,"And that's how I defeated Elzar, thanks to Spargle's magic liquid.",1067
11846,Leela,"Yes, we were there. And we just finished watching it again on TV.",1067
11847,Farnsworth,"Hmm. Let me see that vial, Bender.  Good Lord! According to the spectrolizer, Spargle's magic ingredient was ... water. Ordinary water!",1067
11848,Hermes,No!,1067
11849,Fry,"Ah, so the real gift Spargle gave you was confidence. The confidence to be your best.",1067
11850,Farnsworth,"Yes, ordinary water. Laced with nothing more than a few spoonfuls of LSD.",1067
11851,Bender,"The important thing is, by my standards, I won fair and square. Now, who wants brunch? Cooked with plenty of ... ""confidence""?",1067
11852,Leela,I'm in!,1067
11853,Farnsworth,I do!,1067
11854,Amy,Shman! The Great Rad Spot is mega-sweet for party-boarding.,1068
11855,Farnsworth,Indeed.,1068
11856,Amy,Any calls while I was out?,1068
11857,Leela,Yeah. You got a tele-sonic transmission from Kif a couple hours ago.,1068
11858,Amy,My Kiffie called?  Kif?,1068
11859,Kif,"Ooh, Amy, you're back. Another hour and I would have thought about hanging up.",1068
11860,Amy,"Why didn't you just leave a message, sweetie?",1068
11861,Kif,"Well, um, I've left hundreds of messages with your answering machine but you never seem to get them.",1068
11862,Amy,Bender!,1068
11863,Bender,Not my fault if you don't check me!  Messages erased.,1068
11864,Kif,"When even an inch separates us, I quiver with misery. So you can imagine how I feel when it's a billion light years.",1068
11865,Amy,"Kif, don't cry, or you'll get a tummy ache.",1068
11866,Zapp,"Lieutenant, some things came off me and clogged the drain, so if you could-- Oh, ho! What's this?",1068
11867,Zapp,"Well, well, well! Do my eyes believe me or is that my bosom-y swan, Leela?",1068
11868,Leela,Say again. You're breaking up!,1068
11869,Farnsworth,"Good news, everyone! You'll be delivering pain medicine to the hive mind of Nigel 7.",1068
11870,Scruffy,Scruffy's rollin' out a large pill!,1068
11871,Amy,You're going to Nigel 7? Kif's on patrol near there. You could drop me off on the way.,1068
11872,Farnsworth,"We could but we won't! It's a spaceship, damnit, not a prom limousine!  If anyone needs me I'll be in the Angry Dome.",1068
11873,Leela,This is a very long trip. So we'll all have to go into hibernative-naptosis to save oxygen.,1070
11874,Bender,I don't even breathe oxygen!,1070
11875,[Cut to,Fry's and Bender's Quarters. Fry sleeps on the bottom hammock. Nearby is a sword and his helmet from,1071
11876,Amy,"Here I come, Kif!",1072
11877,[Scene,Nimbus Bridge. Zapp watches,1073
11878,Zapp,"They jumped right out of their pants!  Kif, I'm sensing a very sensual disturbance in the force. Prepare for ship-to-ship intimacy!",1073
11879,Kif,"Yes, sir, captain!",1073
11880,[Scene,The front section of the Nimbus's starboard leg opens up and swallows the Planet Express ship à la the SP.E.C.T.R.E. spaceship in,1074
11881,Zapp,How 'bout I help you finish that dream you were having about me?,1075
11882,Leela,OK. I was just at this part,1075
11883,Zapp,"Uh, let's try that a little lower and a lot softer!",1075
11884,Kif,"Imagine you stowing away and stealing a licensed starship! Oh, it's so romantic it gives me the shivers!",1076
11885,Amy,I don't care how much trouble I get in. I needed to feel my lips pressed against your lipless beak.,1076
11886,Kif,"Oh, Amy, I can't stand having a whole universe between us. I've been thinking a lot about this and, well, would you move in with me?",1076
11887,Amy,"Here? But, uh, wouldn't it be crowded?",1076
11888,Kif,"No, no! It's really twice the size. You can use the floor and I'll have the ceiling. See?",1076
11889,Amy,"Kif! You have so much creativity and niceness, but I'm not ...  ... sure if I--",1076
11890,Kif,"Hush! Before you answer, come thither.",1076
11891,[Scene,Nimbus Holo-Shed. A bare room which looks very similar to the Holodeck from,1077
11892,Kif,"This is the Holo-Shed. It can simulate anything you desire, and nothing can hurt you. Except when it malfunctions and the holograms become real.",1077
11893,Amy,"Well, that probably won't happen this time.",1077
11894,Kif,I wanted to show you what life would be like if we were together. Computer,1077
11895,Amy,"This is so beautiful!  Spirit! Kif, that's the pony I always wanted but my parents said I had too many ponies already.",1077
11896,Kif,"Yes, I programmed it in for you. 4 million lines of BASIC! And if this isn't the life you want, how 'bout this? Run program ""Kif 2"".",1077
11897,Amy,"Oh, Kif!",1077
11898,Kif,"We could live here at the shore of the Tranquilibrius Sea in a timeshare. And I would pluck the moon from the sky just to see you smile.  Run program ""Kif",1077
11899,Amy,This isn't bad. My aunt had a place like this.,1077
11900,Kif,"Amy, we could live in a bus station bathroom for all I care. As long as we're together, it'll feel like a castle to me.",1077
11901,Amy,"Kif, I'd love to live with you ... someday. But before then there's still lots I wanna do on my own.  What was that?",1077
11902,Kif,"Oh, dear. I fear the Holo-Shed might be broken again. Well, as long as we don't cross paths with Attila the--",1077
11903,Amy,Look! Spirit!,1077
11904,Kif,"And there's Professor Moriarty, Jack the Ripper, Evil Lincoln!",1077
11905,Moriarty,"Right-oh, gents, it's another simulation gone mad, so murder and mayhem, standard procedure!",1077
11906,Jack the Ripper,Rampage!,1077
11907,Evil Lincoln,Real holographic-simulated Evil Lincoln is back!,1077
11908,Kif,The Holo-Shed's on the fritz again! The characters turned real!,1078
11909,Zapp,Damn. The last time that happened I got slapped with three paternity suits.  Get back into the Holo-Shed before I start blasting!,1078
11910,Attila the Hun,Stop! Don't shoot fire stick in space canoe! Cause explosive decompression!,1078
11911,Zapp,"Spare me your space-age techno-babble, Attila the Hun!",1078
11912,Bender,Hey!,1078
11913,Amy,Kif! Hold on!,1078
11914,Kif,I totally want to!,1078
11915,Leela,Grab on!,1078
11916,Fry,Over here!,1078
11917,Kif,Please hold me!,1078
11918,Bender,"Have a good one!  Oh, man!",1078
11919,Zapp,After all that I could use some relaxation. I'll be in the Holo-Shed.,1078
11920,McGee,"Well, except for a few broken bones, some internal haemorrhaging and a partially barfed-up heart, everyone appears fine.  Oh, and Kif is pregnant.",1079
11921,Kif,"Oh, joy!",1079
11922,Kif,"Amy, isn't it wonderful? I'm pregnant!",1079
11923,Amy,Yes it's ... great. A great miracle.,1079
11924,Leela,And not one of those bogus everyday miracles like a sunrise. Aren't you a male?,1079
11925,Bender,"Yeah, what's the deal? Just when I thought I'd figured out you biological creatures, it's something else! Lemme at 'im!  Come over here, Kif! You--",1079
11926,Zapp,"Look, I'm sure we're all a little unclear on how anyone gets pregnant. So, Kif, pray explain. And don't spare the dirty words where appropriate.",1079
11927,Kif,"Well, it's quite simple really. When one of my species experiences deep feelings of love we enter a so-called ""receptive state"".",1079
11928,Zapp,You disgust me! Go on.,1079
11929,Kif,"At that point, our skin becomes a semi-permeable membrane, which allows the passage of genetic material. I held Amy's hand and voilà.",1079
11930,Bender,"Well, OK. But that better be all there is!",1079
11931,Kif,"Oh, Amy! You'll be a mother!",1079
11932,Kif,What a wondrous affirmation of our love. And all from the touch of your hand.,1080
11933,Fry,"Dude, hold up. Remember when Zapp blew a hole in the ship?",1080
11934,Evil Lincoln,Indeed.,1080
11935,Fry,Kif touched everybody there. Couldn't any one of us be the mother?,1080
11936,Amy,"Hey, yeah! I mean ... what about that, Kif?",1080
11937,Kif,"Well, I suppose I might have gotten pregnant that way. Or even from a toilet seat. Though that's impossible since I have a private washroom.",1080
11938,Zapp,"Ah, my home away from home. By the way, Kif, your flush seemed to be set on stun, not kill.",1080
11939,Amy,"Look, Kif, I probably am the mother. Although maybe I'm not. Of course, I hope I am. But just in case I'm not, maybe we should have a test.",1080
11940,Bender,A test! I demand a test!,1080
11941,Farnsworth,"Even I laughed at me when I built this alien cross-species genetic analyser. But I guess I showed myself! Subjects, please enter the chamber.  When I pull this switch, the maternifuge will spin at 10,000 RPM, separating out everyone who isn't the mother-- Father-- Whatever!",1081
11942,Bender,Faster! Faster!,1081
11943,Farnsworth,Good. Fry's ejection indicates that he is not the man-mom.  Nor is Captain Brannigan.,1081
11944,Kif,"Oh, thank you, merciful God!",1081
11945,Farnsworth,Zoidberg? What the hell were you doing in there?,1081
11946,Zoidberg,That's where I live. I have no home.,1081
11947,Kif,Amy? But that means--,1081
11948,Kif,Leela must have impregnated me when she grabbed my ungloved hand. That explains the poster in hygiene class,1082
11949,Leela,"Wow, this is all so confusing.",1082
11950,Zapp,"Leela! How could you? Our love has had to endure your constant hatred, and now this?  Stop testing our love!",1082
11951,Kif,"Please, Captain. I thank Leela for the DNA she gave me but, in my species, the true parent is the one who inspired the initial feeling of love. We call that person the ""smizmar"". And my smizmar is Amy.",1082
11952,Zapp,So the toilet seat is like the uncle or something?,1082
11953,Leela,Sorry I got your boyfriend pregnant.,1083
11954,Amy,"That's OK. At least Kif's baby shower should be fun. I'd better put it on my calendar.  Might as well plan for my new life while I'm at it. Set ""Motherhood Mode"".",1083
11955,Leela,To motherhood.,1083
11956,Bender,Zoidberg?,1084
11957,Fry,"You know, my face was stuck in a pizza.",1084
11958,Amy,"Mom, Dad, I know this is weird but--",1084
11959,Mrs. Wong,"Yeah, yeah. We don't care how squishy alien get pregnant. All we care is that we have grandchild now.",1084
11960,Kif,"You're very open-minded, Mrs. Wong.",1084
11961,Mr. Wong,"Hey! You call her ""Grandma"" now!",1084
11962,Mrs. Wong,Call me Grandma like crazy! All the time!,1084
11963,Fry,"Check it out, y'all. Everyone we invited is here.",1084
11964,Zoidberg,Also Zoidberg!,1084
11965,Fry,So let's open the gifts.,1084
11966,Bender,Alright!,1084
11967,Kif,"I can't wait! Let's start with this one, from Bender.",1084
11968,Bender,It's my booties from when I was a kid.,1084
11969,Amy,"Uh, they're already bronzed.",1084
11970,Bender,They are bronze.,1084
11971,Kif,"And this one's from Leela. Oh, I just love the bow! I wonder what it is!",1084
11972,Zapp,"Yes, I wonder what we got you.",1084
11973,Kif,It's a basket! F-For picnics?,1084
11974,Leela,It means a lot to me. It's the basket my parents left me in at the orphanarium.,1084
11975,Hermes,You could use it for picnics.,1084
11976,Mrs. Wong,"Here, Amy. We get this one for you.",1084
11977,Amy,Is it a new party board?,1084
11978,Mrs. Wong,It's a board alright! An ironing board.,1084
11979,Mr. Wong,We had your old party board converted now that you not be partying anymore.,1084
11980,Amy,You-You trashed my party board?,1084
11981,Mrs. Wong,"Damn right! Now you're a mom, the only surfing you do is under a big wave of responsibility.",1084
11982,Kif,"Oh, this is the happiest moment of my life! You all brought such wonderful gifts. But the greatest gift--",1084
11983,Bender,Mine!,1084
11984,Kif,"Is the bond I share with my smizmar, Amy. For soon, the quivering mass of life within me will depend on us both.  Even now, I can sense it feeding, squirming, searching, questing. And shortly, it will rend my loins in twain, burst forth and pull us down, down, down into the deep, dark waters of commitment.",1084
11985,Zoidberg,That's so beautiful!,1084
11986,Amy,No! I can't do this!,1084
11987,Bender,"Oh, my God!",1084
11988,Kif,"Oh, how could Amy leave me? When will women learn to take responsibility for the children they've helped create?  The quickening! My time is near. I must return to my homeworld to perform the ancient birthing rites.",1084
11989,Scruffy,Lemme know how that turns out.,1084
11990,Kif,I must now embark on a perilous journey to give birth in precisely the same swamp in which I was born.,1085
11991,Leela,"If it's so dangerous, I'd better go with you. A gal has to protect her DNA.",1085
11992,Kif,"No, Leela. Tradition demands that I make this journey with my smizmar. And since Amy isn't, here I must go it alone. Farewell, for we may never meet again.",1085
11993,Kif,My scrapes feel a little better now.,1085
11994,Bender,"Hey, what's this fat ugly thing? A frog? A toad? Or your momma!",1085
11995,Kif,It's a poisonous froad! No one move.,1085
11996,Bender,"I'm back, baby!",1085
11997,Kif,Behold! The sacred ancestral birthing grounds of my family.,1086
11998,Zapp,Smells like a jockstrap!,1086
11999,Grand Midwife,I am the Grand Midwife.,1086
12000,Fry,Hi!,1086
12001,Kif,"I am Kif, of the clan Kroker, come to bear my young.",1086
12002,Grand Midwife,"Then let the Tea of New Life be brewed.  As it is writ, ""and both shall lift the jug together"". Where is your smizmar?",1086
12003,Kif,She's not with me.,1086
12004,Grand Midwife,"Oh, the sorrow. Oh, the shame. I'm sorry, I'm probably just making you feel worse.",1086
12005,Kif,As long as Amy is with me in my heart I will have the strength of two.  Apparently Amy hasn't been working out much lately.,1086
12006,Grand Midwife,"As the tea boils, please join hands with your beloved smizmar.  Oh, right, sorry. But I memorised the ceremony by rote and it mentions her a lot.",1086
12007,Kif,I'll try to endure.,1086
12008,Grand Midwife,"Good, 'cause I'm not changing it. Now turn ye to and gaze deeply into each other's eyes.",1086
12009,Bender,What are you looking at?,1086
12010,Grand Midwife,"May the love I sense between you at this moment remain with you both through all your days.  The Tea of New Life is ready. Let those whose love created this life speak each other's names, then drink.",1086
12011,Kif,Amy.,1086
12012,Amy,Kif!,1086
12013,Kif,Amy! Is it you or have I gone crazy with loneliness?,1086
12014,Bender,Both.,1086
12015,Amy,I still don't know if I'm ready for this but I do know I love you. And I wanna be here beside you.,1086
12016,Grand Midwife,Great! Now I lost my place! I'm starting over!,1086
12017,Kif,"Oh, no time! It has begun!  Oh, my!",1086
12018,Bender,Neat!,1086
12019,Amy,"You can do it, Kif!",1086
12020,Kif,"Whoa, Nellie!",1086
12021,Bender,"Oh, man!",1086
12022,Kif,"Amy, my love, tell me",1086
12023,Leela,Amy!,1086
12024,Amy,Shoo! Stay away from my babies!,1086
12025,Grand Midwife,The birthing is complete!,1086
12026,Bender,Alright!,1086
12027,Kif,"Oh, thank goodness!",1086
12028,Grand Midwife,"I will now take my leave. I live here so I won't actually be going anywhere, but you don't have to talk to me anymore.",1086
12029,Fry,Congratulations!,1086
12030,Zapp,Nice work!,1086
12031,Bender,"Way to go, squishy!",1086
12032,Leela,There goes my DNA. What a disgusting and beautiful process.,1086
12033,Fry,That's birth for you.,1086
12034,Kif,"Well, we've given them a great start, Amy. And in 20 years they'll sprout legs and crawl back onto land as children.",1086
12035,Amy,I'll be ready then.,1086
12036,Farnsworth,"Good news, everyone! You all know the orphanarium where Leela grew up?",1087
12037,Fry,Sure. We talk about it all the time.,1087
12038,Leela,Really?,1087
12039,Fry,No. Burn!,1087
12040,Farnsworth,"Well done, fellows! Anyway, said orphanarium has named Leela ""Orphan of the Year"".",1087
12041,Amy,Yee-ha!,1087
12042,Bender,Alright!,1087
12043,Amy,Your parents must be so proud. Oops! Sorry.,1087
12044,Farnsworth,And the good news keeps on coming. Behold my latest invention.,1087
12045,Bender,Neat!,1087
12046,Farnsworth,Ta-da! It's a glow-in-the-dark nose you can wear over your regular non-glowing nose. Observe.,1087
12047,Amy,"Whoa, clool!",1087
12048,Bender,Now I can punch you in the nose in the dark.,1087
12049,Bender,Where'd it go?,1087
12050,Amy,"Hey, Professor, what's all this scloop, glorking out of the machine?",1087
12051,Farnsworth,"That? It's, uh ... nothing. Yes, nothing. If you think it's anything, you're a suspicious moron.",1087
12052,Hermes,It looks like toxic waste.  And it smells like toxic waste.,1087
12053,Fry,What does it taste like?,1087
12054,Hermes,"Delicious fig pudding! Ooh, that's good! But a distinct aftertaste of toxic waste.",1087
12055,Farnsworth,"Alright, alright, so the machine produces a few toxic by-products! You don't have to make a federal case out of it.",1087
12056,Hermes,I'm afraid I do.  I order you dispose of that toxic waste properly or bribe me. Either way it'll cost $500.,1087
12057,Bender,"500 real dollars? That's an outrage! Professor, I'll take care of that waste for $499 and 100 cents.",1087
12058,Farnsworth,"Hmm, I know that's a rip but I'll pay for the convenience. Do you take credit cards?",1087
12059,Bender,Let's find out.,1087
12060,Bender,"Alright, environment, you've met your match!",1088
12061,Smitty,"Hey, get back in the sewer, weird-y. No mutants on the surface.",1088
12062,Vyolet,But he ruined my wedding dress.,1088
12063,Bender,"Honey, that thing was ruined the minute it went on you. That's what I'm talkin' 'bout.",1088
12064,Vogel,"Y'know, it's not easy being an orphan -- not if I have anything to do with it.  I'll never forget the night that cute little alien baby was abandoned on our doorstep. Because I have a photographic memory and I remember every night!",1089
12065,Vogel,"What the--? An alien language? I guess you're an alien. What a beautiful gigantic eye you ha--  Well, come on in.",1089
12066,Vogel,"From those humble beginnings, Leela went on to become a county-certified starship captain. And so it is my pleasure today to nail her picture alongside those of our most distinguished alumni.",1089
12067,Leela,"Thank you very much. Like many of you, I never knew my parents...",1089
12068,Vogel,Give me a--,1089
12069,Leela,I don't know if they were mighty alien overlords or simply underpaid alien janitors who fought crime on the side--,1089
12070,Vogel,There we are. Picture's up.,1089
12071,Bender,It's crooked!,1089
12072,Leela,"In the end though, it doesn't matter who my parents were. All that matters is what I learned here, within these unscalable walls, that I have strength to make it on my own, just like all of you kids here today.",1089
12073,Kids,Leela! Leela! Leela!,1089
12074,Nina,Look at me! I'm Leela!,1089
12075,Albert,Nuh-uh! 'Cause I'm double Leela!,1089
12076,Vogel,"That's it, Albert, no more espresso for you.",1089
12077,Photographer,"Mind if I get a picture of you with your picture for the news, ma'am?",1089
12078,Leela,Yes! I mean no! Just make sure you get my nonchalant side!,1089
12079,Fry,"If those aren't tears of happiness, please stop crying.",1090
12080,Leela,"It's OK, Fry. I'm fine. I won an award today.",1090
12081,Fry,"Is it this room that's making you sad? It's probably the room. Come on, let's go for a walk.",1090
12082,Leela,"I'm sorry you saw that, Fry. I usually try to keep my sadness pent up inside where it can fester quietly as a mental illness.",1091
12083,Fry,"Yeah, I do that with my stupidness.",1091
12084,Leela,"I told a whole crowd today that being an orphan made me strong. But all I really wanted was a mom and dad, to hold me and stroke my hair and tell me they loved me.",1091
12085,Fry,"Then today's your lucky day, because I happen to be a holding, stroking, lovin' machine! Also spankin'.",1091
12086,Leela,That's not even close to what I had in mind.,1091
12087,Fry,"Well, anyway, just remember that people care about you.",1091
12088,Leela,"I know.  Sometimes, when I'm lonely, I look up at the sky and I get this feeling that somewhere, on some unknown planet, circling a distant star, my parents are up there, looking down on me.",1091
12089,Fry,"Yo, yo, Bezender! What up?",1091
12090,Bender,My dumping business is booming. I just got hired to clean up the set of Free Willy 3.,1091
12091,Leela,"Bender! Cut it out! First of all, the sewer mutants will be mad. Second, everything else that's horribly wrong with what you're doing!",1091
12092,Bender,"Ah, those stupid mutants can't do anything. You seem to be forgetting one simple fact. Namely, I'm up here and they are safely down--",1091
12093,Bender,What did I do to deserve this?,1092
12094,Dwayne,"Behold, our once beautiful mutagenic sewage lake.",1092
12095,Vyolet,The radioactive waste you dumped in it has made it bright enough to see how ugly we really are.,1092
12096,Dwayne,"Oh, man!",1092
12097,Raoul,As if our lives weren't miserable enough already!,1092
12098,Leg Mutant,Tell me about it!,1092
12099,Raoul,Let the punishment commence!,1092
12100,Leela,Punishment?,1092
12101,Fry,No fair!,1092
12102,Bender,Bender's innocent!,1092
12103,Raoul,"The instant you touch these mutatious waters, your DNA will be forever altered, turning you into horrible mutants like us. Especially him!  Allow me to demonstrate!",1092
12104,Fry,It's like that time I peeked in the kitchen at Imperial Hunan.,1092
12105,Raoul,Submerge the prisoners.,1092
12106,Bender,Wait. I don't even have DNA. Why am I screaming?,1092
12107,Dwayne,We're gonna beat you afterwards.,1092
12108,Mutants,Mutate! Mutate! Mutate! ...,1092
12109,Hooded Figure #1,Turanga Leela!,1092
12110,Leela,Who said that? How do you know my real name?,1092
12111,Bender,Whee!,1092
12112,Raoul,What are you doing? Stop it!,1092
12113,Fry,What happened?,1092
12114,Leela,I don't know. I think I saved us somehow.,1092
12115,Raoul,Go after them! The waters can't mutate us mutants!,1092
12116,Raoul,They went this way!,1092
12117,Bender,Quick! In there!,1092
12118,Dwayne,Kill! Kill! Kill!,1092
12119,Leela,Great Cheech's ghost!,1092
12120,Bender,What's this junk?,1092
12121,Leela,It looks like ... a timeline of my whole life.,1092
12122,Fry,That's when we saved Earth from a giant asteroid of garbage.,1092
12123,Leela,And here's when I dropped out and bummed around India for a while.,1092
12124,Bender,And this is just last year at Space Mardi Gras.,1092
12125,Leela,It's like some kind of weird Leela museum ... and I'm the Leela!,1092
12126,Fry,Dude! Over here!,1092
12127,Leela,It's all the best stuff I ever flushed down the toilet! Those are some of my diary pages. And my screenplay!,1092
12128,Fry,"And also, for some reason, the letter I wrote you full of my personal feelings.",1092
12129,Leela,My whole life has just been a show for some perverted mutant!,1092
12130,Vyolet,They must be in here.,1092
12131,Raoul,"Yeah, after them.",1092
12132,Bender,And then Bender ran!,1092
12133,Fry,"Leela, freak out later. We're not done escaping yet!",1092
12134,Dwayne,Got you!,1092
12135,Leg Mutant,Take this!,1092
12136,Fry,Ow!,1092
12137,Raoul,This time I'm calling for the death penalty. And not just because I'm running for re-election as Supreme Mutant.,1093
12138,Mutants,Four more years! Four more years!,1093
12139,Raoul,"Oh, very well.  Your attention. Instead of being tortured to death, the prisoners shall hereby be expelled from the sewers and never allowed to return.",1093
12140,Bender,"Oh, cruel fate! Can we really never return to this dank pit of sewage?",1093
12141,Leela,Wait a minute. Why aren't you gonna kill us anymore?,1093
12142,Bender,Yeah! What are you chicken?,1093
12143,Fry,"Shut up, you two! We can kill ourselves when we get home!",1093
12144,Raoul,They'll need transportation to the surface. Bring in the airship.,1093
12145,Bender,Ew!,1093
12146,Raoul,"We constructed it from the remnants of old discarded Macy's parade balloons. Underdog's groin, Bart Simpson's left ear and right shin, Garfield's owner Jon's forehead.",1093
12147,Mutant #1,Fire up the sewer gas!,1093
12148,Mutant #2,"Move it, you ugly normals!",1093
12149,Bender,"Uh, I'm gettin' dizzy! I can't walk straight!",1093
12150,Fry,"Come on, Leela. You can do it!",1093
12151,Bender,Hurry! We're missing our bus!,1093
12152,Fry,Whoa! What are you doing?,1093
12153,Bender,I'm gettin' on the bus!,1093
12154,Leela,The lake didn't mutate me. What is going on here?,1093
12155,Octopus,It worked for me. I used to be a little blonde girl named Virginia.,1093
12156,Leela,Eurgh!  Who the hell are you?,1093
12157,Hooded Figure #1,"No one. And watch your language, young lady!",1093
12158,Mutant #2,Stop right there! I don't want to hurt you.  I didn't want you to hurt me either!,1093
12159,Fry,Leela's going nuts and I can't save her unless I learn more about her mysterious past. Isn't there anything else you can tell me?,1094
12160,Vogel,Nah. Nothing that wouldn't be a waste of your time.,1094
12161,Fry,That's impossible because my time is worthless!,1094
12162,Vogel,"Huh. Well then there is one thing.  It's the note I found with Leela the day she was abandoned. But it's written in Alienese, so no one on Earth can translate it. Not even Brainzilla.",1094
12163,Fry,Hand it over.,1094
12164,Vogel,Sure.  I just wish I could be more helpful. Would you like some dirt on any other orphans?,1094
12165,Fry,"Look, I'm trying to save someone here. I'll have to come back for those later.",1094
12166,Fry,Can you translate it?,1095
12167,Farnsworth,"Of course. But only into Beta Crypt 3, a language so complex there's even less chance of understanding it.",1095
12168,Fry,I didn't ask for a completely reasonable excuse. I asked you to get busy.,1095
12169,Farnsworth,Very well.,1095
12170,Fry,Isn't that the same machine that makes noses?,1095
12171,Farnsworth,"It can do other things. Why shouldn't it?  Of course, even if it is possible to analyse the message, there's no way of knowing how long it would take. It could take an hour or it could take a hundred million years.",1095
12172,Fry,Is it done?,1095
12173,Farnsworth,Certainly not. Two dings means it's done.  But not like that. Slightly more rapid.,1095
12174,Leela,Where did they go?,1096
12175,Bender,"Good news, Leela. I landed the contract to empty all the spittoons in Little Italy.",1096
12176,Leela,Ew!,1096
12177,Farnsworth,That's it! It's done!  I can't believe it! My mind is boggling. The analysis of the note is printing out now.,1097
12178,Doctor,It's a girl.,1097
12179,Mother,My God! She's beautiful. No extra anythings.,1097
12180,Father,Good people skills!,1097
12181,Mother,She's completely perfect!,1097
12182,Doctor,"In my professional opinion as an ear, ear, ear, nose and throat doctor, she is the least-mutated mutant ever born.",1097
12183,Father,And yet she's cursed to live the horrible degrading life of a mutant. Like all of us. Especially him!,1097
12184,Leg Mutant,It's true!,1097
12185,Mother,Maybe we can do better for her.,1097
12186,Father,"I made this bracelet so that in some small way we'll always be with you, even when it doesn't seem like it. During your entire life, for example.",1098
12187,Mother,"You won't pass for human, cutie. But if my PhD in exo-linguistics is worth diddly-poop, this note should convince them you're an alien.  And that'll be enough to give you a real life.",1098
12188,Father,She'll never know we're her parents.,1098
12189,Mother,That's our gift to her. Better we should die than have her learn the shameful truth of her origin.,1098
12190,Father,I'm with you.,1098
