,Quotes,Characters
9027,Thanks so much for inviting us Mr Wong Ive never been to a Mars Day barbecue,Leela
9031,This is quite a large ranch you have,Farnsworth
9049,Yeah yeah get on down  Oh yeah Drop another barnyard bomb on us Vanilla Corn,Bender
9051,So whats Mars Day about anyway,Fry
9053,How can you call the Native Martians stupid,Leela
9056,I cant believe youre laughing at the tragic exploitation of a proud beadloving people,Leela
9057,Lighten up Leela Its funny,Fry
9058,Of course it is But you dont have to laugh,Leela
9072,Ill have a thorax and some feelers,Fry
9093,Hmm I might have mental anguish,Farnsworth
9098,What happened to the buggalo,Leela
9114,It sounds dangerous Someone could get killed Fry Leela Bender I want you to go with him,Farnsworth
9133,And even though the computer was off and unplugged an image stayed on the screen It was  the Windows logo,Bender
9135,It is if youre a laser printer,Bender
9136,OK my turn to tell a ghost story Once there was this woman driving,Leela
9140,Fine Mr KnowItAllAboutSomethingFinally you tell a story,Leela
9141,With pleasure  Once not far from here four people set out on a cattle drive,Fry
9143,And then while they sat helplessly around the campfire  a demented knifewielding escaped lunatic libertarian zombie mutant snuck up and,Fry
9162,Not unless your parents have thousands of helicopters at their disposal,Leela
9164,Too late This is more fun,Bender
9167,Hey its that barbecues over sound again,Fry
9168,Were in the eye of the storm,Leela
9174,Also I didnt know buggalo could fly,Fry
9182,Dont worry Kif Im sure some other beautiful rich girl will fall in love with you,Bender
9196,This mission is incredibly dangerous Someones sure to be killed Fry Leela Bender,Farnsworth
9198,Aw look Betsy followed you Kif,Leela
9205,What about the Great Stone Ass of Mars,Leela
9212,They have such respect for the planet,Leela
9219,Uh actually you traded it for a bead,Bender
9247,Wait Thats the bead you traded your land for,Fry
9248,Its a gigantic diamond That thing must be worth a fortune,Leela
9250,Oh Chief youve made me the happiest girl in the world,Bender
9253,So we can have the diamond,Bender
9255,But what about your sacred land,Leela
9268,Good news everyone Today marks our dear friend Dr Zoidbergs 10th year with Planet Express Huzzahs are in order,Farnsworth
9277,Oh no Im boned I havent paid into the pension either Whatll I do when I retire,Fry
9278,I thought you were retired,Bender
9279,Hey I dont see you planning for your old age,Fry
9280,I got plans Im gonna turn my onoff switch to off,Bender
9281,Well Im gonna take action Its time to check on my retirement fund  Damn Still only 100,Fry
9283,Hes right Ive gotta start investing wisely,Fry
9284,Well Im down to my last lottery ticket  Mule Crud,Fry
9285,So you got six bucks left to retire on I recommend Tender Vittles,Bender
9287,You gotta spend money to make money,Fry
9290,Thats for sure  Roberto Is that you,Bender
9292,You old lunatic How you been,Bender
9294,Yeah Im doing OK too  Im taking a Chinese cooking class at the Learning Annex,Bender
9298,Well nice talking to you,Bender
9309,I sure do Thats the real robber and Ill never forget his name as long as I live And that name is,Fry
9310,Fry Just give a name You dont wanna look stupid on Court TV,Leela
9311,Youre right Youre right It was,Fry
9315,I refuse to testify on the grounds that my organs will be chopped up into a patty,Fry
9318,A few months in an insane asylum I could do that standing on my head,Bender
9323,Yahoo The system fails again,Bender
9327,Ow My head Ow My feet Ow My head Ow My feet,Fry
9330,I dont belong here Bender This is an asylum for insane robots,Fry
9331,Well you meet half the qualifications,Bender
9332,Oh good a physical Once they examine my fragile naked pink body theyll see Im not a,Fry
9336,Look Theres been a terrible mistake Im a human being See  Im all squishy and flabby Also I complain a lot,Fry
9338,I do other human stuff I age See,Fry
9341,The car dealer Wow I guess his prices really were insane,Fry
9344,Actually weve met once before,Fry
9347,Whoa Someone had a busy day,Bender
9348,My roommate exploded Oh you gotta help me Bender How can I prove Im human,Fry
9349,You could drop dead Thatd show em,Bender
9357,Let me guess he thinks hes Lincoln,Fry
9364,Bender I cant take much more of this I want outta here,Fry
9365,Are you crazy This place is great Electroshock whenever you want it two Lincolns for every Napoleon  Ah Sweet light crude,Bender
9366,But Im not a robot like you I dont like having discs crammed into me Unless theyre Oreos  and then only in the mouth Dont you understand Im gonna die here,Fry
9367,Ah quit your bellyaching and take it like a robot,Bender
9371,You gotta get me out of here I would have starved to death if not for that sick vending machine robot  Gimme Gimme,Fry
9373,Were all trying to help you Weve petitioned the governor but he doesnt want to appear soft on people whove been falsely imprisoned,Leela
9374,At least I have friends on the outside Benders been no help at all,Fry
9375,Je suis Napoleon  No seriously Im not,Bender
9377,Ah lighten up honey Im just trying to get through a difficult time using humour,Bender
9379,Help me For Gods sake help me,Fry
9380,Oh dont worry Fry I too once spent a nightmareish time in a robot asylum But now its nearly over So long,Farnsworth
9381,Oh God What What What is it now,Fry
9383,Finally Sweet justice Sweet juicy justice,Fry
9390,Roberto WWWWhat are you doing here,Fry
9392,Why would you hold up the same bank twice,Fry
9396,No Please Help Stop it Please,Fry
9397,Hey Keep it down in there Im tuning my banjo,Bender
9399,Im not a robot  Im not a robot,Fry
9405,Affirmative I feel nothing I am a robot Beep beep beep ,Fry
9406,Youve made a terrible mistake Hes a human being not a machine Oh Fry,Leela
9409,Negative I must be a robot Why else would human women refuse to date me,Fry
9411,Biounits terminate noise exchange It is time for you to ingest sandwiches from my compartment,Fry
9412,Here we go Just a minute Aha,Bender
9416,Roberto Ooh what a surprise to see you in here Especially cause I didnt squeal on you remember Remember all that squealing I didnt do Remember Do you,Bender
9418,Uh sure  Anything for you buddy,Bender
9420,Uh whats with the getup,Bender
9422,Im in Im in  So when were you planning the breakout,Bender
9424,Quick Lets keep escaping,Bender
9426,Oh you sad worthless human,Fry
9428,Fear not For I shall assist ye,Fry
9430,Relax mammal My robotic software shall meet your calculatory needs  What is the meaning of this symbol,Fry
9433,Stand back Im a toolbot,Fry
9434,Youre not a toolbot Youre not a foodmotron Youre not a robot of any kind,Leela
9435,Yes I am I simply havent discovered my primary function yet,Fry
9436,OK this has gotta stop Im going to remind Fry of his humanity the way only a woman can,Leela
9437,Youre going to do his laundry,Farnsworth
9447,Wow Hitting the same place three times I admire your style Roberto,Bender
9451,Come on I got a place where I like to hide after crimes,Bender
9453,Hey everybody Meet my good pal Roberto,Bender
9462,Ouch Thats going to bleed when my heart beats,Farnsworth
9470,Dont kill me yet Im starting to come down with Stockholm Syndrome  handsome,Bender
9473,The side that kicks your twisted metal ass,Fry
9474,Fry Stay back Hes too powerful,Leela
9475,Negative bossy meat creature I know now what my primary function is,Fry
9479,No knife can penetrate my skintanium armour,Fry
9487,Congratulations buddy Youre a credit to my race,Bender
9488,Blood Robots dont have blood I must be a a,Fry
9490,A human Oh my God Im a human,Fry
9492,Thanks for saving us Fry,Leela
9493,Im gonna continue never washing this cheek again,Fry
9494,Buddy you may be wrapped in greasy skin but inside youve got the heart of a robot,Bender
9496,Just like inside me Ive got the heart of a human  What,Bender
9498,Ah beer So many choices and it makes so little difference,Bender
9499,How bout Löbrau It has dots on it,Fry
9500,Overruled The choice of champions is Pabst Blue Robot,Bender
9501,I cant drink that The metal shavings make my throat bloody,Fry
9503,Hey hey We can all fight when were drunk Now listen why dont we just brew our own beer,Leela
9504,You can brew your own beer,Bender
9505,Sure The kids at the orphanarium used to do it all the time,Leela
9508,And you Cubert I cloned you from one of my warts and I can send you straight back in there,Farnsworth
9523,Ive warned you not to use those things,Farnsworth
9524,Lets see Weve got our malt our hops We just need a big disposable tub to mix it in,Leela
9526,Now it needs to boil for a couple hours,Leela
9529,Crew you remember Cubert  Wonderful Then Im sure you wont mind being their legal guardians for a month,Farnsworth
9531,Were making beer Im the brewery,Bender
9534,Actually Dwight youre right Alcohol is very very bad  for children But once you turn 21 it becomes very very good So scram,Leela
9538,Eh wha Oh This is my latest invention a device that lets anyone sound exactly like me,Farnsworth
9540,I am Thats not good news at all you little,Farnsworth
9542,There is no target consumer Only targets Targets that will tremble in fear as their new master hands down edicts in my glorious booming voice  Now quit pestering me you scoundrels,Farnsworth
9550,Mmm The ingredients are cooked And theyve picked up some of your natural robot flavourings Time to add the yeast,Leela
9551,Yeast You mean Ill have a lifeform growing inside me  Its so beautiful,Bender
9553,This is Professor Farnsworth I have an important delivery for you and your dumb crew You must deliver a pizza to Dogdoo 8 a planet at the edge of the universe,Farnsworth
9557,If you were my kids youd get quite a talking to  from your father  when he got home from the Senate,Leela
9558,Oh bother What have they done now,Farnsworth
9559,Those pork dumplings sent us on a fake pizza delivery,Bender
9560,The address was on Dogdoo 8 but the universe ends right after Dogdoo 7,Fry
9565,Accusing gentle Bender of a misdeed Thats the last straw You boys have been underfoot long enough,Farnsworth
9567,Oohhoo Here comes violence,Bender
9569,I guess if you want children beaten    you have to do it yourself,Bender
9573,Perhaps theyve constructed a teddy bear hospital,Farnsworth
9576,Whos going to use a delivery service with a kicked sign Nobody thats who,Farnsworth
9581,Yes its a tremendous responsibility alright  What if a paper were to land in a puddle,Farnsworth
9587,Im really starting to swell up with beer I must look ridiculous,Bender
9588,No you have a healthy glow,Fry
9589,Oh my God I just felt it ferment,Bender
9590,Ooh Let me feel  Have you thought about what to name it,Leela
9591,I was thinking Benderbrau if its an ale Botweiser if its a lager,Bender
9592,I hope its a lager so I can take it to a ball game  Ooh I felt that one,Fry
9597,Goodness there must be 50 papers in that bundle Thats a big number 50,Farnsworth
9605,Its closing in You cant avoid it Its a cheekseeker And  gotcha,Farnsworth
9608,Well well If it isnt our little munchkin moguls,Farnsworth
9620,You know how much an apartment that big would cost on the Sun,Leela
9626,Thats why we need you our loyal crew to make Planet Express 800 more profitable,Farnsworth
9628,Uh guys I dont know how to tell you this so Ill just let Fry blurt it out thoughtlessly,Leela
9629,We dont work for you anymore,Fry
9631,Dwight and Cubert made us a better offer Were paperboys now,Leela
9635,Were on it Mr Farnsworth,Leela
9636,Folks the situation is grim but we shall prevail thanks to you our crack team of loyal dregs,Farnsworth
9639,Yes of course you are Now weve got to buckle down and save Planet Express,Farnsworth
9644,Balderdash I never agreed to that,Farnsworth
9646,Tax dodge nothing You take one nap in a ditch at the park and they start declaring you this and that,Farnsworth
9651,There One million papers folded and loaded,Fry
9653,And whats your scientific basis for thinking that,Leela
9655,Oh did I ever tell you how I used to own that ship,Farnsworth
9657,Oh my God I think its time,Bender
9658,Hurry Leela Get some coasters and cold mugs,Fry
9661,It feels like Im trying to push a water bed outta me,Bender
9662,Almost there Just two more bottles,Fry
9663,Is it OK I cant hear anything,Bender
9664,Its an ale Five gallons six ounces,Fry
9667,Hey wait a second How did you deliver a million papers in one hour,Fry
9670,Hello Awesome Express the rude crude delivery dudes How may I direct your call Whats that You havent gotten your paper In how long,Leela
9671,Uh might a homeless old man have a touch more beef bourguignon And another tequila slammer  Please,Farnsworth
9676,Theyre so stinking talented they dont even need their fathers anymore,Farnsworth
9678,You did Tough luck suckers,Farnsworth
9683,Why did you boys do all this,Farnsworth
9686,Damn right we are Now come on lets go do a little fatherson weaselling out of this,Farnsworth
9687,Good thing I had this net installed for catching giraffes,Farnsworth
9699,Now now no need to give us the business Wed like a word with you daddy,Farnsworth
9703,Mr Blob our sons have come to apologise for damaging your window Theyve learned their lesson and they want to make amends,Farnsworth
9707,Now see here We assured our sons that youd accept their apology,Farnsworth
9709,No one gives my boy that option,Farnsworth
9717,Hes come to finish the job Someone toss me out the window,Farnsworth
9720,Hey chumps I heard you were on the assend of an asskicking so I figured you could use a couple these little babies,Bender
9722,Wont you join us Mr Blob,Farnsworth
9725,It would seem weve taught our boys a lesson about life,Farnsworth
9726,"Froggy went acourtin and he did ride uhhuh uhhuh
Well Froggy went acourtin and he did ride
Blah blah blah something Bender is great
Froggy went acourtin and Bender is great uhhuh",Bender
9727,Oh my God They dug up a bag of olestra chips from my time  There must be layers and layers of old stuff down there,Fry
9728,Whats that One of those Led Zeppelins Ive heard so much about,Bender
9729,No its an old Volkswagen van  Hey Mister Mind if I take this old van,Fry
9731,Yeah yeah Ive gotten used cars before,Fry
9732,Whats that One of those Jefferson Starships Ive heard so much about,Leela
9733,Its called a van and in light of the fact that its not arockin I invite you to come aknockin,Fry
9737,No it cant but its got a driversside floor and an 8track player with genuine mono sound,Fry
9738,Wheres the device that lets you speed or slow the passage of time,Farnsworth
9742,Wrong again idiot There is no gas Petroleum reserves ran dry in 2038,Farnsworth
9743,Gas was an environmental disaster anyway Now we use alternative fuels,Leela
9745,Whale oil  Bender lift it up to the can opener,Leela
9746,Oh no Im not going near it Last time that magnetic psycho nearly cut my head off,Bender
9747,Oh right Plus the magnet screws up your inhibition unit and makes you sing folk songs,Fry
9748,What Who said anything about me secretly wanting to be a folk singer How ridiculous,Bender
9749,Bender if you dont open that can right now your fear will own you and nothing that can opener could ever do would be worse than that,Fry
9750,OK OK I can do this Its time to take life by the cans,Bender
9755,Jimmy cracked corn and I dont care,Bender
9757,"Jimmy cracked corn and I dont care
Cause the masters gone away",Bender
9759,Doc I cant move my arms and legs Whats wrong with me,Bender
9767,Well lets drag him to the kerb,Farnsworth
9768,Wait a minute Bender is my best friend We cant just dump him in the gutter like Grandmas ashes,Fry
9769,Oh my life is over Ill never know happiness again,Bender
9771,Look Bender Its Patch Cord Adams He heals with the power of laughter,Leela
9773,Obviously not or Id be strangling you right now,Bender
9777,For the love of God somebody kick his ass,Bender
9779,Oh Im doomed Everybody leave me alone I dont wanna be seen this way,Bender
9780,Aw you look so sad You want me to send Patch Cord Adams back in,Fry
9781,Hey the blues The tragic sound of other peoples suffering Thats kind of a pickmeup  Wow that was great,Bender
9783,I dunno Let me see  Oh my God youre Beck Id get up to shake your hand and steal your wallet but my crappy body crapped out on me,Bender
9785,Wow Weve sure got a lot in common Beck I always dreamed of being a musicianpoet who transcends genres even as he reinvents them just like you,Bender
9787,Eh thanks but its hopeless Ill never be a musician now,Bender
9791,Why Cause I can make annoying noises,Bender
9793,Alright  Go Bender Go Bender Go Bender,Bender
9794,Well thats my good friend Beck Im off to rock a series of midlevel venues,Bender
9796,Hey I have an idea Who wants to cram in my van and follow Bender on tour and live there in the van,Fry
9807,Got a washboard stomach and a microphone,Bender
9813,It got ruined in the wash,Leela
9814,Mine too even my change,Fry
9818,Whoa check out all those broken robots Howdy fellas,Bender
9823,Aw hang in there folks Ill bet before you know it you guysll be  That is so wrong They cant just melt down broken robots Not right when theyre kissing my ass,Bender
9825,Hey yeah I could write a song With real words not phoney ones like odelay,Bender
9828,Im working on my song Hand me the Becktionary  No no the rhyming Becktionary,Bender
9830,Wait a minute you know lots of rock stars and most of them like to look like they care about things,Bender
9832,And we could call it BendAid after me Bender,Bender
9834,And Ill let you sing backup But remember who the star is Me,Bender
9835,Alright Hands in the air rhymes with Just dont care and  finished  Eck Smells like something died in the wall,Bender
9837,Mind if we crash here tonight The colours in the van are keeping us awake,Leela
9838,Alright but hands off the minibar,Bender
9839,Wow I forgot about TV Living free on the road you realise how much better life is without it Well lets see whats on,Fry
9846,This comingtogether of superstars really means a lot to you doesnt it Bender,Leela
9847,Thats why Ill be proud to go up on stage tomorrow and say Look at me world I am a broken robot,Bender
9848,Bender you can move Youre cured,Fry
9850,I can move again  My music career is over,Bender
9851,Bender I dont claim to understand the biz but wouldnt being able to move help your music career,Fry
9852,Wait thats it Ill fake it,Bender
9867,Brothers and sisters get your love beads Cant journey to the centre of your mind without love beads,Fry
9884,I dont know what to say,Bender
9886,"Ladies gentlemen smoking heaps of machinery  
 People say my broken friend is useless
But I say his mind is free
Theres lots of things my mangled robot friend could be",Bender
9898,He could be a storage closet,Bender
9899,and   for outdated pants,Bender
9901,My broken friend could do it all,Bender
9902,and   Just give him a chance,Bender
9903,"That robot has a tragic secret
That Id like to share",Bender
9905,"My broken friend is closer to me
Than an ass to a chair",Bender
9907,That robots name I never told you,Bender
9911,Ill say it loud and sing it proud,Bender
9912,and   His name is you and me,Bender
9913,Dont melt me down into a crowbar,Bender
9915,Just cause I cant move my arms and legs,Bender
9917,Or toss me into a trash can,Bender
9919,Just cause I cant cook you ham and eggs,Bender
9921,Dont crush me into an anchor,Bender
9923,Just cause I cant jump and dance and sing,Bender
9925,Im telling you my broken friend,Bender
9927,Put your hands in the air like you just dont care,Bender
9929,Im telling you my broken friend,Bender
9935,Curse my natural showmanship,Bender
9941,Well everyone prepare to get your guts kicked out by folk singers,Bender
9943,Hurry The Golden Gate Bridge Put the metal to the pedal to the other metal,Fry
9944,Oh no I forgot this is a hoverbridge,Bender
9945,And I forgot this isnt a hovercar,Leela
9946,Is any of that a problem,Fry
9949,Quick grab his footcups,Leela
9953,Im broken again I cant move any part of me,Bender
9955,Im really sorry I lied Beck All I ever wanted was to make music with you I never meant to hurt anyone or help anyone,Bender
9957,So I can uh keep the cheque,Bender
9959,Well it was worth a shot,Bender
9960,Cmon Bender If youre done scamming Beck were heading home,Fry
9961,"Alright alright Let me just do one thing to cheer myself up

Fry cracked corn
And I dont care
Leela cracked corn
I still dont care
Bender cracked corn
And he is great
Take that you stupid corn",Bender
9963,So Leela how about a romantic ride in one of those swan boats Theyre kinda dangerous but I finally mastered them,Fry
9964,Those arent swan boats theyre swans,Leela
9965,Oh That explains these boat eggs,Fry
9968,What happens if we lose,Fry
9970,This will not stand  Ill take you on you airballing bozos,Farnsworth
9972,I may be an old man In fact Im fairly sure I am But Ill put you Globetrotters in your place with my team of mutant atomic supermen,Farnsworth
9975,Theyre only a foot high Professor,Leela
9976,Well theyre still young Mere atomic super boys really Well need to speed up their growth with time particles called Chronitons,Farnsworth
9977,Arent those the particles that destroyed an entire civilisa,Bender
9978,Good news everyone Youre off to the Tempus Nebula to gather Chronitons,Farnsworth
9980,Your face can take a lot of punishment Thats good to know,Leela
9981,Theres a lot about my face you dont know Perhaps you and it could get better acquainted over dinner,Fry
9982,Alright Cool your jets hotshot,Leela
9983,Cmon Leela why wont you go out with me We both know theres something there,Fry
9984,No I mean cool your jets Theyre melting Benders face,Leela
9986,Here you go Hot off the nebula,Leela
9987,None too soon While you were gone the Trotters held a news conference to announce that I was a jive sucker  Behold My invincible nuclear mutants,Farnsworth
9997,No showboarding you atomic hotdog,Farnsworth
10001,What the  Did everything just jump around or did my brain just stroke off there for a second,Farnsworth
10005,We seem to be lurching forward randomly in time like a needle skipping on a record player,Farnsworth
10007,No It must have something to do with those time particles I used to grow the Supermen Time and space are ripping apart at the seams,Farnsworth
10009,Oh great Now on top of everything we need a new fifth man,Farnsworth
10010,Ooh Ooh Ooh Put me in Professor I wanna show Leela my skills,Fry
10011,Hmm Will said skills pay the bills,Farnsworth
10012,Who cares Were 35 points ahead with two minutes left What could possibly,Fry
10017,I dont know what you did Fry but once again you screwed up Now all the planets are gonna start cracking wise about our mamas,Leela
10019,Enough about your promiscuous mother Hermes We have bigger problems This time disruption is extremely serious,Farnsworth
10021,Tate What do you know about this,Farnsworth
10023,Youre that Bubblegum Tate,Farnsworth
10025,Yes I see Something involving that many big words could easily destabilise time itself,Farnsworth
10027,Indeed so At this rate by Tuesday it will be Thursday by Wednesday it will be August and by Thursday it will be the end of existence as we know it,Farnsworth
10034,Interesting Its as if we behave normally during the time skips but then we have no memory of it,Farnsworth
10036,My yes Ooh just like that Any luck Bubblegum,Farnsworth
10038,Not if youll grant me the same liberty,Farnsworth
10039,Ooh Ooh Bubblegum My names Bender and Im a huge fan of your work both on and off the court Can I be a Globetrotter,Bender
10041,Bubblegum look at this The background time radiation is fluctuating wildly,Farnsworth
10050,Psst Leela Ive set up a timeproof shelter in the closet Theres only room for two and youre the one I wanna share it with,Fry
10051,Fry thats so sweet Let me see,Leela
10052,How exactly will this protect us from time jumps,Leela
10053,Because when were together in here baby time will stand still,Fry
10056,Dr Zoidberg can I talk to you about Fry,Leela
10058,does the worst WC Fields imitation Ive ever seen Zoidberg,Leela
10060,The thing is Fry is very sweet but hes so immature I love his boyish charm but I hate his childishness,Leela
10062,Ah there is it The Tempus Nebula Take a whiff through the Smellescope,Farnsworth
10064,The odour of pure time leaking When my crew removed the Chronitons it destabilised the nebula causing time skips throughout the universe,Farnsworth
10065,Ooh Let Bubblegum tell it,Bender
10069,Their gravity might just divert the Chronitons to the empty side of the universe,Farnsworth
10075,Ah there we are One gravity pump  Powerful enough to move the stars themselves Now to begin the arduous task of attaching it to the ship so th,Farnsworth
10078,Just a few  more  hundred  thousand  miles There,Leela
10080,Well have to run some tests back on Earth but I think weve stopped the time skips,Leela
10084,And what better way to celebrate our success than by me showing Bubblegum the Globetrotter uniform I made myself,Bender
10086,Leela I want you to know I think the way you moved those stars around was really wonderful I got you something,Fry
10087,Moderatelypriced domestic nonvintage champagne How did you know,Leela
10088,You deserve it I mean nobody ever stops to tell you what a great captain you are,Fry
10089,Aw That is so true and sweet,Leela
10090,Youre smart youre beautiful and best of all youll go out with mee,Fry
10091,Fry please try to understand,Leela
10092,Hey Leela Bubblegum might let me organise a bake sale for the Globetrotter wives Can you teach me to make cupcakes,Bender
10093,Alright but I wanna lick the beaters,Leela
10094,I got her champagne I opened it What does a guy have to do,Fry
10096,Hmm Maybe this is the moment to show her my real surprise,Fry
10099,Look Ive been studying how to pilot the ship Impressed,Fry
10100,Yeah actually Youre doing OK The core reactor temperatures nominal the blinkers off,Leela
10101,I learned how to work the gravity pump too In case we need to move more stars So are we dating now,Fry
10102,Is that what this is all about Please just cut it out now,Leela
10103,Look Leela I know theres some perfect amazing thing I can do to make you love me and when I figure out what it is,Fry
10104,Fry stop I dont wanna hurt you but there is absolutely positively no way that you and I will ever ever,Leela
10108,Ye Gods Bubblegum We failed The time skips havent stopped at all,Farnsworth
10110,You tricked me into marrying you didnt you,Leela
10112,Howd you do it Drugs in the champagne Hypnosis,Leela
10113,No Drugs are for losers and hypnosis is for losers with big weird eyebrows I dont know what amazing thing I did you make you love me but whatever it was were married now Weve got the rest of our lives to work,Fry
10116,Well lets divide up the china I guess Ill take the NFC helmets and you can have the AFC helmets,Leela
10117,Fine Break my heart again,Fry
10119,How did I do it How did I get Leela to love me Ive got to figure it out,Fry
10122,I dont know what Im doing,Fry
10123,Maybe shed come back to you if your best friend Bender were a Globetrotter What do you say Bubblegum,Bender
10125,Oh its hopeless I did something so great that it won Leelas heart and Ill never ever know what it was My life is empty,Fry
10127,No wonder we failed to stop the time skips Diverting Chronitons is mathematically impossible I knew I should have checked your showboating Globetrotter algebra,Farnsworth
10130,The time skips are worse than ever now Isolated spots are jumping by years at a time Look,Farnsworth
10133,Well Im stumped Well have to call in the finest scientific minds in the univ,Farnsworth
10134,Perhaps we could explode the whole damned nebula What do you think Curly Joe,Farnsworth
10137,By God Sweet Clyde is right An implosion might just form a black hole that would stop more Chronitons from escaping,Farnsworth
10139,Doomsday device Ah Now the balls in Farnsworths court  I suppose I could part with one and still be feared,Farnsworth
10148,Please please let me come with you I can make myself taller,Bender
10152,I mean with time my funk level could,Bender
10157,Careful with that doomsday device Bender,Leela
10158,What does it matter Ill never be a Globetrotter My life and by extension everyone elses is meaningless,Bender
10160,Leela about the wedding I dont know what I did to make you love me and I dont think I tricked you into it but maybe I did And if I did Im sorry,Fry
10161,Its OK Fry You know well always be friends right,Leela
10162,Yeah But I dont guess anything I could do will ever make you feel the same way about me that I do about you,Fry
10164,Well the doomsday device is ready Maybe blasting this quadrant of space into a hell storm of flaming nothingness will cheer me up a little,Bender
10165,OK Let me just take the ship out to a safe distance  Actually I think Ill go down and prep the detonator Fry why dont you take the helm,Leela
10166,Shes so great I feel like I can almost remember the magical thing I did to make her love me But I guess I never will,Fry
10167,Sorry buddy I too know what its like to have a dream Ill never achieve,Bender
10168,Oh  Thats how I must have done it I moved the stars themselves to write her a love note in the sky,Fry
10169,Detonation in three two one,Leela
10170,Did you see it Did you see it,Fry
10182,I just saw something incredibly cool,Fry
10186,Well I dont care if it was some dork in a costume For one brief moment I felt the heartbeat of creation and it was one with my own,Fry
10188,We all feel like that all the time You dont hear us gassin on about it,Bender
10189,How can you people be so blasé Here you are in the year 3000 or so yet you just sit around like its the boring time I came from,Fry
10190,Boring Wasnt that the period when they cracked the human genome and boy bands roamed the Earth,Farnsworth
10191,Yeah But now its the distant future Why arent we out doing everything I ever dreamed of,Fry
10192,Hey you know what might be a hoot,Leela
10193,No Why would I know that,Farnsworth
10194,Lets take the rest of the morning off and take Fry to do everything he ever wanted to do,Leela
10198,Yeah what did they ever do for me,Fry
10199,Wow The most humdrum activities look almost exciting through your eyes What should we do next,Leela
10200,I wanna see the edge of the universe,Fry
10203,There it is The edge of the universe,Farnsworth
10204,Far out So theres an infinite number of parallel universes,Fry
10206,Oh well Im sure thats enough,Fry
10207,Im sick of parallel Bender lording his cowboy hat over me Lets move on to Frys next fantasy,Bender
10211,That was fun Lets give him a treat,Fry
10214,These new hands are great Im gonna break em in tonight,Fry
10215,Yes its been quite an hour and a half,Farnsworth
10216,Ive only got two fantasies left,Fry
10217,I could pound your head till you think thats what happened,Bender
10219,Wait hold on It is actually possible to meet any celebrity you want,Leela
10221,Of course You should read a blimp sometime,Leela
10222,Download a celebrity from the Internet What part of that do I understand,Fry
10223,Its simple You can download a celebritys personality and appearance into a blank robot,Leela
10224,Hey I have an idea Lets do that,Fry
10225,Onto the Internet you go,Farnsworth
10226,Oh and while youre there pick me up a few credit card numbers,Bender
10234,So wheres the celebrity dating place,Fry
10235,Lets search the web  Over there,Leela
10237,Nah I read in Newsweek that she drinks human blood,Fry
10239,Id prefer someone from the era of shaved underarms Do you have anything with more of a LucyLiufeel to it,Fry
10242,Ive found her What do I do now,Fry
10243,Download her Lets just put a blank robot in the drive,Farnsworth
10247,Well you downloaded Lucy Liu Are you just going to stare vacantly at her and not say anything,Leela
10249,Did you hear that She likes me,Fry
10250,Well duh Shes programmed to like you,Farnsworth
10251,But this is Lucy Liu Perhaps the only good actress of the 21st century Shes more than just a piece of software,Fry
10255,So uh what do you feel like doing,Fry
10258,Then when I feel so stuffed I cant eat anymore I just use the restroom and then I can eat more,Fry
10260,Oh Lucy Youre just like I always thought youd be from your movies,Fry
10269,Oh dear Shes stuck in an infinite loop and hes an idiot Well thats love for you,Farnsworth
10270,Humans dating robots is sick You people wonder why Im still single Its cause all the fine robot sisters are dating humans,Bender
10271,Bender this is Frys decision  and he made it wrong So its time for us to interfere in his life,Leela
10272,She doesnt really love you She cant Shes just a machine that,Leela
10273,Stay away from our women You got metal fever boy Metal fever,Bender
10274,Well so what if I love a robot Its not hurting anybody,Fry
10276,Its just lucky I keep a copy in the VCR at all times,Farnsworth
10291,Did that make any impression on you Fry Fry,Leela
10293,I knew I should have shown him Electro Gonorrhoea,Farnsworth
10294,What is the world coming to That Frys a sicko poivert I tell you Dating a robot Its an atrosmacy,Bender
10295,But Frys our friend Bender,Leela
10296,Aw jeez would you stifle there meatbag,Bender
10299,Although he is completely right,Leela
10300,Weve got to stem this tidal wave of moral decay Its time to shut down nappstercom,Bender
10301,Whos in charge of this dump,Bender
10303,Listen you fat Internet nerd,Bender
10305,Your company promotes wrong love If you dont shut down right now the only thing wired about you will be your jaw,Bender
10318,We cant take that chance Move people move,Leela
10327,Hey Dont look at me like that If youre thinking of crossing the line with Bender you can forget it Bender dont bend that way,Bender
10328,Hey look Its another Lucy Liubot,Leela
10333,Alright Liu Time to kick your frosty welltoned ass Yah,Leela
10337,Oh shucks I wasnt afraid of that robot Im pretty brave once you get past my macho exterior  Its an army of Lucy Lius,Bender
10344,This is the best movie Ive ever seen It has a vampire and an explosion,Fry
10351,Aw you guys came to watch me make out That is so sweet  Wait a minute Is that the head of who I think its of,Fry
10353,Fry a herd of Lucy Liu are destroying the city Is yours acting normally,Leela
10354,Let me see  Yep Why do you ask,Fry
10358,And Nappster says illegal copies never hurt anybody,Leela
10360,Sorry ladies Employees only,Fry
10361,Oh no Theyre forming a human pyramid  of robots,Leela
10362,Damnit We werent counting on them being as smart as they are sexy,Bender
10365,Dr Zoidberg cut open that bag,Leela
10373,Youll be safe in here sweetheart  Get lost Pavarotti,Bender
10374,Lucy Liubot if I dont survive the corn I want you to know that I love you as much as a man can love a computerised image of gorgeous celebrity Which it turns out is a lot,Fry
10376,What are you doing darling Get down,Fry
10382,You saved us Are you alright,Fry
10389,But I just downloaded her because I love you,Fry
