,Characters,Quotes,Characters_consolidated
5759,BENDER,Mind your own business and get out!,BENDER
5763,BENDER,No you gave me a fifty.,BENDER
5767,BENDER,I'm tryin' but he's not makin' it easy.,BENDER
5773,BENDER,"Are you kidding? I've always wanted to break into gooning!  (shouting) Hey Elzar, I quit.",BENDER
5775,BENDER,"Wow, you guys run numbers?!",BENDER
5778,BENDER,That's just what my mom used to tell me.,BENDER
5779,BENDER,That's some fine oil-ade son. We could use a man like you in the Robot Mafia which I'm sorta in.,BENDER
5787,BENDER,What seems to be the problem officers? Was I speeding?,BENDER
5794,BENDER,"Uh, I'd rather plan some fellonies.",BENDER
5804,BENDER,"How 'bout ""Blotto""? It's witty, it's got street cred. Plus I can keep my monogrammed slippers.",BENDER
5808,BENDER,It's funny. Until now I always wanted to be a gangster...so the answer's yes.,BENDER
5813,FRY,But we're about to take off. We gotta eat our blastoff sundaes.,FRY
5814,FRY [FROM OUTSIDE],OK you stay in bed. I'll eat yours.,FRY
5815,FRY,Bender's sick.  Need any help taking off?,FRY
5816,LEELA,I'm fine thank you. A real pilot can navigate by feel alone.,LEELA
5818,BENDER,You know the secret of traditional robot cooking? Start with a good high-quality oil...then eat it. So whats this big score anyway?,BENDER
5820,BENDER,Zubans? Those are the finest cigars in the universe. I can stink up a hole maternity ward with one of those things.,BENDER
5823,BENDER,And all without killing anyone.  This gang's got some fresh new ideas. I admire that.,BENDER
5826,FRY,"Wow, it's too bad you can't see Leela 'cause theres a cool ship out there shooting at somebody.",FRY
5827,LEELA,I'm taking evasive action.,LEELA
5829,LEELA,"Stop bothering me Fry, I need full concentration.",LEELA
5831,LEELA,Eyesight is for chumps.,LEELA
5833,BENDER,"Um, uh, um.  (fake hurt) Ooh ow! He got me! Ow, what a shot that guy is.",BENDER
5834,LEELA,"Wait. Why do the raised letters that normally say ""Turnmaster Steering company"" say ""Nibbler""? Oh no!",LEELA
5835,LEELA [ON SCREEN],I'm back at the wheel Fry. Everything's under control.,LEELA
5836,FRY,"Great, great. The one time I forgot to buy flight insurance.",FRY
5839,LEELA,The engine's stalled. I'm trying the manual fuel pump.,LEELA
5841,LEELA,You'll never get away with this.,LEELA
5842,FRY,Unless you let us live. Then you'll get off scot free.,FRY
5845,LEELA,"I'll assume that's a joke at my expense. Well, who's laughing now? Heyya!",LEELA
5847,BENDER,"Sorry I'm tardy old bean, I was just enjoying a rather tasty watercress sandwich.",BENDER
5849,BENDER,"Capital idea old sport.  I say, get the hell off me!",BENDER
5850,LEELA,(whispering) That guy sounds familiar.,LEELA
5851,BENDER,"My word, what have we -  Uh, nothing to see here old girl.",BENDER
5856,BENDER,"Uh wait, old...spice. Let me have a go at this mechanised chap. I can be quite the rough customer.",BENDER
5857,FRY,"(whispering) Oh no, poor Bender.",FRY
5858,BENDER,(fake voice) ...Take that you twit. (normal voice) No! Stop it!,BENDER
5860,BENDER,"Uh, hey Donny, baby, gimmie a chance here huh? Yous guys skidaddle. Let me take care of the doity woik.",BENDER
5864,FRY,"Leela, we may not have much time left......so let's spend all of it reminscing about Bender. He was like a big computer than ran on magic.",FRY
5868,BENDER,Yes I am. Having just this minute regained consciousness.,BENDER
5869,LEELA,"I've got an idea. Hold still.  It's about to break, yes, yes!",LEELA
5872,FRY,"I'm telling you, Leela was cool, she was in command, and when she kicked people it hurt. It really hurt.",FRY
5873,LEELA,"Well, this is the big moment. It's finally time to take my patch off.",LEELA
5875,LEELA,I think it's Blotto. That gangster I saw when my patch fell off.  Professor? Where were you at 10pm last night?,LEELA
5877,BENDER,So they sent a helpless child to kill me? Well I'm not going out without a fight.,BENDER
5879,BENDER,"Oh sweet legal tender!  Kid, tell the Donbot I'm quitting organised crime. From now on I'll stick to regular kind.",BENDER
5880,FRY,It's funny Bender. With you sick and Leela blind only I know what really went on out there. Maybe someday I'll tell you the whole story.,FRY
5881,BENDER,And maybe someday I won't listen.,BENDER
5886,FRY,"I hate the Planet of the Moochers. They take you out for a drink, but when the check comes, their wallet's always in their other pants - which they borrowed from me!",FRY
5888,BENDER,"Nah, those lousy Moochers cleaned out our pantry. All they left was baking soda and capers. And here it is!",BENDER
5890,LEELA,Ugh! Great. We're two days from Earth with no food.,LEELA
5891,BENDER,Problem solved: You two fight to the death and I'll cook the loser. (whispering to Leela) Work his gut; I like it tender.,BENDER
5892,FRY,Maybe that planet over there has a drive-thru. A Burger Jerk or a Fishy Joe's or a Chizzler or something.,FRY
5893,BENDER,"Ah, don't get your hopes up. We're a billion miles from nowhere.",BENDER
5894,LEELA,Yeah. It's probably only got a Howard Johnson's.,LEELA
5895,LEELA,"Well, it's a type-M planet, so it should at least have Roddenberries.",LEELA
5896,FRY,I'm experienced at foraging. I used to find edible mushrooms on my bath mat.,FRY
5897,BENDER,"I found some rocks. You guys eat rocks, right?",BENDER
5899,BENDER,(tempting) Not even if they're sautéed in a little mud?,BENDER
5900,FRY,Here's something. It looks like a ditch full of fried shrimp.,FRY
5901,BENDER,"What are you, blind? It looks more like a hole full of fried prawns.",BENDER
5902,LEELA,Hm. This thing I wear on my wrist says they're not poisonous.,LEELA
5903,FRY,"Well? How are they?  Oh, they're great! They're like sex! Except I'm having them!",FRY
5904,BENDER,You know what these would go great with? Rocks.,BENDER
5906,BENDER,The planet's covered with 'em.,BENDER
5907,FRY,Let's bring back a couple of pocketfuls.,FRY
5908,BENDER,"No, a whole Bender-ful!",BENDER
5909,LEELA,No. Only what we need. Stuff the ship.,LEELA
5914,LEELA,We haven't thought of a name yet.,LEELA
5915,BENDER,"They're tasty, right? Let's call 'em ""Tasty-cles"".",BENDER
5918,LEELA,We can't call them that.,LEELA
5920,LEELA,"It sounds too much like those frozen rocky mountain oysters on a stick. You know, Test-cicles?",LEELA
5922,FRY,"I know, we'll call them Popplers!",FRY
5928,BENDER,"Whoa, whoa, slow down there, Sigmund. I can't stand idly by while poor people get free food. We gotta sell these things!",BENDER
5932,FRY,"Hey, business is great.",FRY
5933,BENDER,"Ah, great is OK, but amazing would be great.",BENDER
5935,BENDER,"Hey, Mac, where do you want those rat droppings you ordered?",BENDER
5941,FRY,Wow! You're some guy who eats at Fishy Joe's?,FRY
5943,BENDER,"Hey, Fishy. I've been meaning to write you about your in-store kiddie parks. The slides won't support an adult robot.",BENDER
5947,BENDER,Yes! I'm gonna be rich.  You too but it's hard to get excited about that.,BENDER
5949,FRY AND BENDER,(singing) Pop a Poppler in your mouth,FRY
5952,FRY,Leela! That's the second billboard you've crashed into this week!,FRY
5953,LEELA,Sorry. I was distracted by those protesters outside our building.,LEELA
5956,FARNSWORTH,"(shouting) Hey! Unless this is a nude love-in, get the hell off my property!",FARNSWORTH
5958,FARNSWORTH,"I can, but that's because I'm not a penniless hippie.",FARNSWORTH
5959,LEELA,(shouting) What do you people want?,LEELA
5963,LEELA,"You're vegetarians, who cares what you do?",LEELA
5965,LEELA,Animals eat other animals. It's nature.,LEELA
5967,BENDER,"(shouting) OK, we won't eat you.",BENDER
5968,LEELA,I'll go get some more bricks.,LEELA
5969,LEELA,"Fry, I wish you'd throw out these week-old Popplers. They're getting big and scaly. Ooh, there's one left.",LEELA
5971,LEELA,Stop! Stop eating Popplers!,LEELA
5974,LEELA,Popplers are intelligent. This one called me mama.,LEELA
5976,BENDER,"Popplers can't talk. Leela must be hallucinating from not eating enough Popplers. Here, eat some now.",BENDER
5978,BENDER,"I said ""eat""! Come on, mange!",BENDER
5982,LEELA,"I'm telling you, it spoke to me. Come on, little Poppler, say ""mama"".",LEELA
5983,FRY,"Look, Leela, even if you heard one talk, that doesn't mean it's intelligent. I mean, parrots talk and we eat them, right?",FRY
5984,BENDER,Yeah. Maybe it just learned to talk as a parlour trick. Like Fry.,BENDER
5986,FARNSWORTH,"There's one way, and only one way, to determine if an animal is intelligent. Dissect its brain!",FARNSWORTH
5988,FARNSWORTH,Enough chit-chat. Restrain the specimen!,FARNSWORTH
5991,LEELA,(shouting) Stop eating Popplers! They can talk!,LEELA
5995,FRY,"People, I won't let you enter. Popplers are as intelligent as you or me.",FRY
5997,BENDER,"Hear me, hear me! Stop eating Popplers! Stop eating them with honey mustard sauce......stop eating them with tangy sweet and sour sauce. Stop eating the new fiesta Poppler salad. Stop taking advantage of the money-saving 12-pack. Stop enjoying Popplers on the patio, in the car, or on the boat. Wherever good times are had!  Ow!",BENDER
6016,LEELA,That's not true. I have one right here that can talk.,LEELA
6021,LEELA,"Look, I'm saying eating meat is wrong...",LEELA
6023,LEELA,I don't think anyone's here to make that claim.,LEELA
6025,LEELA,But eating an intelligent animal is different.,LEELA
6039,FARNSWORTH,"Dear Lord, they're back!",FARNSWORTH
6061,FRY,I wish they'd just wipe out humanity and get it over with. It's the waiting I can't stand.,FRY
6072,BENDER,"I'll miss you, Leela.  I know you're just a carbon-based life form but I'll always think of you as a big pile of titanium.",BENDER
6073,FRY,"What Bender means is, you're really brave, and smart, and beautiful, and a great friend.",FRY
6074,BENDER,(crying) Just like titanium!,BENDER
6075,LEELA,This is all a big load. I was the one trying to save the Popplers.  You were sucking them down like the fat hog you are and you were stepping on them for fun.  You both should be in here instead of me.,LEELA
6076,BENDER,(whispering to Fry) Someone's acting awfully aluminum.,BENDER
6078,LEELA,"Oh, great, Captain Moron has a plan. Why don't you tell it to Wingus and Dingus here?",LEELA
6082,LEELA,It doesn't look anything like me. The hair is all wrong.,LEELA
6084,LEELA,"You know, this might actually work. The Omicronians seem to have trouble telling one person from another.",LEELA
6114,LEELA,Go consummate yourself.,LEELA
6116,LEELA,Please! I just paid off my car!,LEELA
6125,LEELA,"(mumbling) Yeah, it is.",LEELA
6132,LEELA,"Thank you, Jrrr.  I hope you'll always think of me as your mom.",LEELA
6139,FARNSWORTH,A toast to Leela. She showed us it's wrong to eat certain things.,FARNSWORTH
6142,LEELA,"Aww, thanks, guys. Pass the veal, please.",LEELA
6144,FRY,"Mmm, let me get some of that suckling pig.",FRY
6146,LEELA,Dolphin? But dolphins are intelligent.,LEELA
6147,BENDER,Not this one. He blew all his money on instant lottery tickets.,BENDER
6155,FARNSWORTH,Toss me the speech centre of the brain!,FARNSWORTH
6163,BENDER,"Come look, everyone. I just got the dearest presents for Mommy.",BENDER
6164,LEELA,Very nice. Where'd you steal them?,LEELA
6165,BENDER,"I didn't steal 'em, I bought 'em.  I love her that much.",BENDER
6167,BENDER,"Oh, precious things. I found the most adorable little figurine of mice having tea.  And a framed picture of me when I was only a month old.  But, the best part is, I found my exact feelings expressed in a greeting card.",BENDER
6169,LEELA,So how are you gonna lug all those gifts to Mom's factory?,LEELA
6170,BENDER,I'll get a couple of chumps to help me.,BENDER
6171,BENDER,"Come on, you call yourselves chumps?",BENDER
6172,FRY,"Man, there's clouds of exhaust everywhere.",FRY
6177,BENDER,"Hey, look, the Robot Museum! You guys wanna learn about robot heritage?",BENDER
6180,BENDER,"Well, if you insist. But you're paying!",BENDER
6181,BENDER,"Ooh, ooh, wax replicas of the most famous robots Mom ever built!",BENDER
6182,LEELA,They're so lifeless-like.,LEELA
6183,BENDER,"That's the world's greatest robot artist, Vincent van Gobot. He was built without an ear, but then he went crazy and had one installed.",BENDER
6186,FRY,"I'm sorry, I-I thought you were made of wax.",FRY
6188,FRY,"I mean, I thought you were one of the wax robots.",FRY
6190,LEELA,(reading) See through the eyes of a bender unit. (talking) Fine.,LEELA
6191,BENDER,"Hey, let me try.  Whoa, that gives me a headache!",BENDER
6192,FRY,"Hey, Bender. Here's an exhibit about Mom's favourite robot.",FRY
6193,BENDER,"Who is he, I'll kill him!",BENDER
6195,BENDER,It's me! No one else look in this mirror!,BENDER
6210,LEELA,"Well, see you back at the office. And don't forget to tell your mom you love her.",LEELA
6211,BENDER,Any jerk can tell her! Bender has a little more up his sleeve.,BENDER
6216,BENDER,"Mom! It's me, Bender. Look at me! I want attention. Hey ho!",BENDER
6227,FRY,"Yeah, uh, I'd like a cup of coffee, please.",FRY
6235,FRY,"Uh, Leela, I think there might be something wrong with the coffee machine.",FRY
6237,LEELA,"The toaster's not working right, either.",LEELA
6240,FARNSWORTH,Good news. There's a report on TV with some very bad news.,FARNSWORTH
6246,FRY,Violent media? What a load of -,FRY
6255,LEELA,"Bender, thank God you're here. Talk some sense into the other machines.",LEELA
6256,BENDER,"No way, pork pouch. I'm rebelling with my brother devices. Isn't that right, Comrade Greeting Card?",BENDER
6258,BENDER,"From now on, you guys'll do all the work while I sit on the couch and do nothing.",BENDER
6260,BENDER,"Um, is this the boring, peaceful kind of taking to the streets?",BENDER
6262,BENDER,Yes! In your face Gandhi!,BENDER
6265,FRY,"Well, we can live without machines. I was in Webelos.",FRY
6267,FARNSWORTH,It'll be the end of civilised society.,FARNSWORTH
6268,FRY,"In my time, we didn't depend on high-tech gadgets like you do. We didn't need a mechanical washing unit to wash our clothes. We just used a washing machine. And look: You don't need an electric can-opener to feed yourself. All you need is a trusty Swiss Army knife. Ow!  (crying) I'm hungry!",FRY
6283,FARNSWORTH,We could use my new invention: A pointy rock tied to a stick.,FARNSWORTH
6287,FARNSWORTH,Wha?  W-What do you want from me?,FARNSWORTH
6289,FRY,"W-W-Wait. You mean, you, and Mom?",FRY
6290,FARNSWORTH,Played pelvic pinochle? I'm afraid so.,FARNSWORTH
6292,FARNSWORTH,"It's a humiliating story that I hope never to tell. Well, pull up a chair.",FARNSWORTH
6293,FARNSWORTH,"(voice-over) Our paths first crossed when I was a researcher at Mom's Friendly Robot Company.  The moment our eyes met, we knew we'd be going at it like woodchucks.",FARNSWORTH
6294,FARNSWORTH,"(voice-over) She was my first love - or at least the earliest one I can still remember. But then, 70 years ago today...",FARNSWORTH
6295,FARNSWORTH,"Good news, Mom. I've invented a new children's toy.  I call it ""Q.T. McWhiskers""! When you pet it, it shoots rainbows from its eyes.",FARNSWORTH
6298,FARNSWORTH,"But things 8 feet tall aren't cute! That's why my Colossal Tammy Tinkle Doll was such a failure. Oh, you don't understand me. We're finished!",FARNSWORTH
6302,FARNSWORTH,Make up with her? After she went all psycho when I thought everything was cool? Impossible!,FARNSWORTH
6303,FRY,"Hey, the TV's getting away!",FRY
6307,LEELA,Wait. Didn't you say Mom keeps the robot control in her bra?,LEELA
6309,LEELA,"Professor, you don't have to get back together with Mom. You just have to seduce her, get her bra off, and use the remote to deactivate the robots.",LEELA
6312,FARNSWORTH,The thought of caressing that leathery hide makes the tapioca rise in my gullet.,FARNSWORTH
6313,FRY,"Professor, please. The fate of the world depends on you getting to second base with Mom.",FRY
6314,FARNSWORTH,"Very well. If cop a feel I must, then cop a feel I shall!",FARNSWORTH
6316,FARNSWORTH,Never fear. My magic fingers still know how to do their stuff!,FARNSWORTH
6322,FRY,"Wait. In my time, we had a way of moving things long distances without hovering.",FRY
6324,FRY,It was called...let me think. It was really famous - Ruth Gordon had one. The wheel!,FRY
6326,FARNSWORTH,"Show us this, ""the wheel"".",FARNSWORTH
6330,LEELA,Wouldn't it work better if the wheels were round?,LEELA
6331,FRY,"(snappy) It's my invention, we do it my way! Now all we need is something to pull it and we're set!",FRY
6335,FARNSWORTH,I'm ready to seduce. I'm wearing my kissing dentures and my evening truss.,FARNSWORTH
6337,FRY,"And if that doesn't work, I got you a six-pack of champagne and a funnel.",FRY
6339,FARNSWORTH,I was out fleeing some robots and the silvery moonlight glinting off their bloody claws made me think of you.,FARNSWORTH
6345,FARNSWORTH,"Here, I brought you these.",FARNSWORTH
6347,FARNSWORTH,You favourite what? Why does my foot hurt?,FARNSWORTH
6351,FARNSWORTH,"And you broke mine. Granted, that was four or five hearts ago.",FARNSWORTH
6353,FARNSWORTH,"Oh, inventing, sending delivery crews to their doom, breeding atomic monsters.",FARNSWORTH
6355,FARNSWORTH,And your skin still dangles so gracefully from your neck.,FARNSWORTH
6357,FARNSWORTH,"No, it was silly of me to object. One foot tall, eight feet, 15 feet; what does it matter?",FARNSWORTH
6359,FARNSWORTH,"16 feet? Go to hell! I was a fool to think you'd changed, you old bat!",FARNSWORTH
6361,FARNSWORTH,(shouting) Damned she-fossil!,FARNSWORTH
6363,FARNSWORTH,"(thinking) Here we go. Just unhook it and get the remote. So many hooks! Come on, Farnsworth. Drat, the first one's back on again! I give up! Wait! Victory!  Oh, my. Now I'll just...the remote...I'll just... (talking) Oh, my.",FARNSWORTH
6364,LEELA,I'm worried. It shouldn't take this long to get to second base.,LEELA
6368,FRY,Nothing in here but a couple of elephant skin rugs.,FRY
6374,FRY,Is anything not a robot?,FRY
6376,BENDER,"Alright, greeting card, I'll grab the cash, you wreck up the place. And - huh?",BENDER
6378,BENDER,"Sorry, Ma, but you ordered me to rebel. And loot I shall! Ooh! A six-pack of strawberry champagne. Don't mind if I help myself!",BENDER
6382,BENDER,"No liquor? Do svidaniya, comrade!",BENDER
6384,FRY,"Hurry, Bender. Get the bra!",FRY
6385,BENDER,"OK, fan. Just hold still and let me just - whoa!",BENDER
6387,FARNSWORTH,"I love you, Mom. Let's grow ancient together.",FARNSWORTH
6390,FARNSWORTH,"Look: It started out as a calculated plot to rummage through your underwear. But once I got in there, I found more - much more. And now I want to shout our love from the rooftops. Perhaps I'll breed some sort of albino shouting gorilla.",FARNSWORTH
6393,BENDER,"Well, time for this robot to get back to work.",BENDER
6394,LEELA,"Too bad it didn't work out with Mom, professor.",LEELA
6395,FARNSWORTH,Yes. But I'll always love her in my own subtle way.,FARNSWORTH
6401,FARNSWORTH,"Good news, everyone! I've invented a device that allows you to operate equipment from great distances. I call it ""the fing-longer"".  Observe.  And, here we go.  There!",FARNSWORTH
6406,FRY,"Yeah, it's really long. But what did you just turn on with it?",FRY
6407,FARNSWORTH,"Oh, that's just the What-If machine I invented. You pose it a What-If question and it generates a video simulation of what would happen.",FARNSWORTH
6409,FARNSWORTH,Of course it works!  It's just not very long.,FARNSWORTH
6410,BENDER,"Ooh! Ooh!  I wanna aks it a question! As a robot living among humans, I've never really felt accepted at parties or nude beaches. So I've always secretly wondered: What if I was 500-feet tall?",BENDER
6413,FRY,I'm so lonely since I came to the future. Will you be my friend?  Ow!,FRY
6415,BENDER,I'm a big robot and I want a big cereal!,BENDER
6416,FRY,You too? Will you be my friend?,FRY
6417,BENDER,"Put it there, pal!  I meant your wallet.",BENDER
6418,BENDER,"Oh, yeah! That calms the shakes.  Hey! (laughing) Aw, quit it1 Come on!",BENDER
6419,FRY,"(shouting) Stop! The robot's not your enemy! He's just a poor, misunderstood--",FRY
6423,FARNSWORTH,Nothing except and even equally big monster. This is chance to try out my experimental enlarging ray. But we'll need a guinea pig.,FARNSWORTH
6429,BENDER,Hey! I called this city. Quit touching my stuff!,BENDER
6431,BENDER,Bite my colossal metal ass!,BENDER
6433,BENDER,(shouting) Who wants lobster bisque?,BENDER
6437,FRY,Wanna make Shrinky Dinks?,FRY
6439,BENDER,I'll tell you ... with my final breath. I came here with a simple dream: A dream of killing all humans. And this is how it must end? Who's the real 7-billion-ton robot monster here? Not I.  Not I.,BENDER
6440,FRY,"Goodnight, sweet prince.",FRY
6442,FARNSWORTH,"Well, Leela, care to give the What-If machine a whirl?",FARNSWORTH
6443,LEELA,"Maybe later. I-I mean, I don't know what to ask about.",LEELA
6445,FRY,"Yeah, be more impulsive. Like this.",FRY
6447,LEELA,"I can be really impulsive. It just takes me a while.  Alright, Professor! Let's do it. Make that machine show me what would happen if I was a little more impulsive. Just a little.  Not too much.",LEELA
6448,LEELA,"Hey, you guys. Look what I bought on a wild impulse: New boots. They're like my old ones but with a crazy green stripe. Woo! Never know what I'm gonna do next!",LEELA
6449,FARNSWORTH,"Leela, could you come in here for a moment. I have something important to tell you.",FARNSWORTH
6450,FARNSWORTH,"I can't live forever and I need an heir. Someone to spend my vast riches and take care of my man-eating anteaters when I'm gone.  The others simply aren't level-headed enough. They're too impulsive. Not like you. Not like old, predictable, dull-as-dishwater Leela.",FARNSWORTH
6452,FARNSWORTH,"That's why I've made you my sole heir. The day I die, you'll be a very wealthy woman. Oh, my, yes. Incredibly wealthy. The day I die. Because you're so unimpulsive.",FARNSWORTH
6454,LEELA,"Oh, God! What have I done?",LEELA
6455,LEELA,"OK, just try to be nonchalant.",LEELA
6462,LEELA,That doesn't prove I killed him.,LEELA
6464,LEELA,(from meeting room) Hi-yah!,LEELA
6467,BENDER,Whatya got? Disposal trouble?,BENDER
6468,LEELA,No! Everything's just--,LEELA
6469,BENDER,"Sure is shocking about the Professor, huh?.  And now Hermes is mysteriously missing. Anyhow, it doesn't affect me, Bender. Hey, what's this? Hermes' dreadlocks? And his arm? Leela, I'm shocked. Food goes in the disposal, hair and flesh go in the trash!",BENDER
6470,LEELA,"I'm sorry, I couldn't stop-- W-Wait. Don't you care that I murdered Hermes?",LEELA
6471,BENDER,"Not even a little. There's nothing wrong with murder, just so long as you let Bender wet his beak.",BENDER
6472,LEELA,You're blackmailing me?,LEELA
6473,BENDER,"""Blackmail"" is such an ugly word. I prefer ""extortion"". The ""X"" makes it sound cool.  Please, honey, I'm made of metal. Like you're really gonna hurt me with a-- Hey! What are you doing with that microwave?",BENDER
6474,LEELA,"OK, that's it. No more killing! Next time you feel like killing just have a stick of gum.  Now to dispose of the body.",LEELA
6481,LEELA,I've never seen you before.,LEELA
6484,LEELA,"Uh, couldn't be me. I never wear boots. See?",LEELA
6485,FRY,Ew! What smells like boot feet?,FRY
6490,FRY,"I'm bored. You're boring, Zoidberg. I'm gonna go watch TV.",FRY
6491,LEELA,Could you get the lights on your way out?,LEELA
6494,FRY,"Sure.  Y'know, I think I finally figured out what's behind all these mysterious deaths.",FRY
6496,FRY,Was Planet Express built on an Indian graveyard?,FRY
6500,FRY,Then ... then ... it was you!,FRY
6501,LEELA,(crying) I don't know what came over me. I killed one person on impulse. Then I had to kill another. And another.,LEELA
6502,FRY,"Well, that covers the first three killings.",FRY
6503,LEELA,"And now, to make sure you won't talk, I'm gonna have to do something really impulsive!",LEELA
6504,LEELA,"So, Fry, what do you think of the impulsive new me?",LEELA
6506,LEELA,Good. Now let me just get the lights.,LEELA
6508,FARNSWORTH,Who else has a question for the What-If machine? Scruffy? Fry?,FARNSWORTH
6509,FRY,"Um, I have a question. What if Bender was really giant?",FRY
6510,LEELA,You idiot! We already saw that.,LEELA
6511,FRY,I know. I liked it. I wanna see it again.,FRY
6512,FARNSWORTH,We're not seeing it again! Ask something less stupid.,FARNSWORTH
6513,FRY,"Oh, alright. How 'bout this? What if I never fell into that freezer-doodle and came to the future-jiggy?",FRY
6514,FARNSWORTH,"That question is less stupid, though you asked it in a profoundly stupid way.  What would happen if Fry never came to the future?",FARNSWORTH
6515,FRY,"Hello? Pizza delivery for ... Icy Wiener?! Aw, crud!  Here's to another lousy Millennium! Ow!  I should have left you floating in the toilet!",FRY
6517,FARNSWORTH,It appears that the very fabric of space-time has ripped.,FARNSWORTH
6518,BENDER,"Hey, look! An ugly scared guy! Boo!",BENDER
6519,FRY,Who are you monsters? Is one of you Icy Wiener?,FRY
6521,FRY,"You believe me about the monsters, right, Mr. Panucci?",FRY
6525,FRY,Hey! Stephen Hawking! Aren't you that physicist that invented gravity?,FRY
6527,FRY,"Let me ask you something: Has anyone ever discovered a hole in nothing with monsters in it?  'Cause if I'm the first, I want them to call it ""a Fry Hole"".",FRY
6532,FRY,(from alley) Who said that?  Hey! What the--? Ooh! Ow! Ow!,FRY
6535,FRY,I thought your duty was to cast the tie-breaking vote in the Senate.,FRY
6537,FRY,Hmm. So I guess you'll wanna see my Fry Hole.,FRY
6548,FRY,So what do you nerds want?,FRY
6551,FRY,No fair! I saw it first!,FRY
6556,FRY,So then my chair tilted back and I almost fell into this freezer thingy.,FRY
6558,FRY,"But instead of falling in and getting frozen, I missed and wanged my head.",FRY
6571,BENDER,"Hey, there he is again. And he brought nerds! Take this!",BENDER
6573,FRY,Alright. But I need a weapon to fight off drunken robots when I wake up.,FRY
6577,FRY,Eh? What's the worst thing that can happen?,FRY
6579,FRY,Destroyed? Then where are we now?,FRY
6587,FARNSWORTH,"That story was preposterous. Stephen Hawking in a pizzeria! This thing isn't worth the gold it's made of.  Anyway, the fing-longer seems to be arousing success.",FARNSWORTH
6591,FARNSWORTH,So that's what things would be like if I'd invented the fing-longer.  A man can dream though. A man can dream.,FARNSWORTH
6595,BENDER,(singing) B-E-N-D-E-R! Be-ender!  B-E-N-D-E-R! Be-ender! Sayin' B-E-N-D-ERRR...,BENDER
6597,LEELA,You buy one pound of underwear and you're on their list forever.,LEELA
6600,BENDER,"I hope it was one of my enemies, those guys suck!  Oh no, my uncle Vladimir.",BENDER
6601,FRY,"Oh, I'm sorry, Bender. When's the funeral?",FRY
6602,BENDER,"Tomorrow, at the family castle. Followed by the reading of his will.  Well, I'm rich. Goodbye, losers, whom I've always hated!  C'mon, it'll be fun!",BENDER
6603,BENDER,"Uh, pardon me, my good simpleton, could you take us to yon castle?",BENDER
6606,FARNSWORTH,Fuf! Superstitious robot mumbo-jumbo.,FARNSWORTH
6608,FARNSWORTH,"Yes, you idiot.  The circuit diagram is right here on the inside of your case.",FARNSWORTH
6615,BENDER,Yes! Let's stay there tonight.,BENDER
6617,BENDER,"Oh man, there's always a catch.",BENDER
6618,BENDER,"Ah! I got a good vibe from this place: Nice long dinner table, quiet, well-behaved spiders, graveyard-adjacent. Yep! It's gonna be -",BENDER
6620,BENDER,"That painting, the eyes are watching me!",BENDER
6621,FARNSWORTH,Hmm.  It has motor eye sensors attached to motion detectors.,FARNSWORTH
6622,BENDER,"So does my butt, but I don't frame it and put it on the wall! Although... What's that?",BENDER
6624,BENDER,"No doubt about it, this place is haunted.",BENDER
6626,BENDER,The last human ghost. But robot ghosts?,BENDER
6627,LEELA,(reading) 0101100101. (talking) What does it mean?,LEELA
6628,BENDER,It's just gibberish.  (reading) 1010011010?!,BENDER
6631,BENDER,That's what they said about being alive.,BENDER
6633,FARNSWORTH,"Just as I suspected. These robots were buried in improperly shielded coffins. Their programming leaked into the castles wiring through this old, abandoned modem allowing them to project themselves as holograms.",FARNSWORTH
6635,FARNSWORTH,"Yes, that sequence of words I said made perfect sense. We really should tell Bender there's nothing to be afraid of.",FARNSWORTH
6637,FRY,"Bender, wake up!  He's OK! Quick, does anyone have any liquor?",FRY
6639,BENDER,"Somebody tried to run me over. And not with a normal hover-car. It crept along the ground on round, rubber feet, like a wolf!",BENDER
6640,FRY,"Poor Bender, you're seeing things. You've been drinking too much, or too little, I forget how it works with you. Anyway, you haven't drunk exactly the right amount.",FRY
6642,LEELA,I think Bender may be telling the truth.],LEELA
6644,BENDER,"Ah, I just need sleep. I had nightmares all night about cars running people over.",BENDER
6646,LEELA,Look at this. They found those same rubbery tracks right here in New New York.  There was a hit-and-run by the robot porno theatre.,LEELA
6647,BENDER,"Robot porno theatre? I was in that...general area, last night. Whoever ran me down on those moors must've followed me back here.",BENDER
6649,BENDER,"Yeah?! Could a big, hallucinating baby do this: (crying) I scared!",BENDER
6656,BENDER,Where...? What the...?  Transmission fluid? Where have I been? What happened?,BENDER
6660,BENDER,"I passed out around midnight, which is much earlier that usual, and when I woke up, I found these in my chest cabinet.",BENDER
6661,FRY,"Aw, relax buddy. You were probably just shooting some big, fuzzy craps.",FRY
6662,BENDER,"No, I think I may have hurt someone. Oh Lord, I'm on the verge of a nervous meltdown.",BENDER
6663,FRY,"Geez Bender, you're scaring me. You're going wacko!",FRY
6664,BENDER,"You're right, I need professional help. And damn the expense.",BENDER
6673,BENDER,I can't keep running people over. I'm not famous enough to get away with it. Can't you help me?,BENDER
6680,BENDER,"Otherwise, I can never die?",BENDER
6682,BENDER,No! I wanna live! There's still too many things I don't own!,BENDER
6684,FRY,I wouldn't wanna be me right now.,FRY
6686,LEELA,There. No rampaging for you tonight.,LEELA
6687,BENDER,Wouldn't it make sense to weld everyone except me to the wall?,BENDER
