,Characters,Quotes,show
1543,bartlet,You would enjoy nature.,west_wing
1545,bartlet,This is simplicity itself.,west_wing
1547,bartlet, Thank you. Good night.,west_wing
1561,bartlet,This is huge. Which one of you is the man?,west_wing
1563,bartlet,"Mrs. Landingham, let’s make the phone call!",west_wing
1586,bartlet,"You’re too young to retire, Joseph.",west_wing
1587,bartlet,He’s on the short list.,west_wing
1588,bartlet,We’ll make our announcement on Thursday.,west_wing
1589,bartlet,"I haven’t made a decision yet, Joseph.",west_wing
1590,bartlet,Mendoza was on the short list.,west_wing
1591,bartlet,"That’s not true, Joseph.",west_wing
1594,bartlet,I suppose we should get out there.,west_wing
1595,bartlet,"I’m sorry Joseph, but I am...",west_wing
1596,bartlet,You’ve said quite a few words.,west_wing
1597,bartlet,"Joseph, when the next seat opens up, I promise you...",west_wing
1598,bartlet,"In three years, I would hope to be running for reel...",west_wing
1599,bartlet,"That’s a little pessimistic, Joseph.",west_wing
1600,bartlet,"You know I imagine the view from your largely unscrutinized place in history must be very  different from mine. But I remind you sir, that I have the following things to negotiate:  an opposition Congress, special interests with power beyond belief, and a bitchy media.",west_wing
1601,bartlet,"Well, I am not Harry Truman.",west_wing
1602,bartlet," It’s “Dr. Bartlet,” your honor. Now, let’s go start your retirement.",west_wing
1651,bartlet,A quick confirmation’s gonna be good for us.,west_wing
1652,bartlet,Just what the doctor ordered.  Thank you.,west_wing
1653,bartlet,"Good morning, Mrs. Landingham.",west_wing
1654,bartlet,When is Harrison getting in?,west_wing
1655,bartlet,"Peyton Cabot Harrison. Find out what kind of cigars he likes, what kind of perfume his  wife likes, and have them sent over to their hotel, okay?",west_wing
1656,bartlet,We’re using back channels. What is going on with Lillienfield?,west_wing
1657,bartlet,"We’re gonna get this done, right?",west_wing
1658,bartlet,"We looked at everybody, right?",west_wing
1659,bartlet,The short list. We looked at Mendoza?,west_wing
1660,bartlet,"Yeah, you’re right. I’ll see you later.",west_wing
1661,bartlet,"Good morning, gentlemen. Sorry to keep you waiting. Let’s go.",west_wing
1662,bartlet,Good morning. Good morning. Hang on a second.,west_wing
1663,bartlet,Good morning. Keep your seats.,west_wing
1664,bartlet,Do this for me. Put together some information on Roberto Mendoza.,west_wing
1666,bartlet,No. I just want to be able to know something. There’s gonna be a lot of questions.  I don’t want it to be “we had a Hispanic on the short list.”,west_wing
1668,bartlet,The reason we didn’t go with him.,west_wing
1670,bartlet,Let’s do better than that.,west_wing
1671,bartlet,"Uh, what’s going on with this drug thing?",west_wing
1673,bartlet,All right. I’ll trust ya. Thank you.,west_wing
1705,bartlet,"Here’s an interesting statement.  “I join Judge Black, insomuch as while enjoying  my privacy, I am compelled to admit that government has a right to invade it unless  specifically prohibited by some specific Constitutional provision.” Unquote.",west_wing
1706,bartlet,Why isn’t this ever been brought up?,west_wing
1707,bartlet,"We spent two months vetting our homerun nominee, he doesn’t believe in a privacy guarantee,  and it never came up?",west_wing
1711,bartlet, When does Harrison get in?,west_wing
1712,bartlet,I want him first thing in the morning.,west_wing
1713,bartlet,"When was the last time either of you slept, I don’t care. Get ready for this.",west_wing
1714,bartlet,I want to meet Mendoza.,west_wing
1718,bartlet,"Judge Harrison, first thing’s first, are you the author of this unsigned note?",west_wing
1719,bartlet,"When I was 26, I wrote a paper supporting the deregulation of Far East trade barriers.  Nearly got thrown out of the London School of Economics. I was young and stupid, and  trying to make some noise.",west_wing
1720,bartlet,I’m gonna bring Toby Ziegler and Sam Seaborn in here and talk about this a little bit.,west_wing
1738,bartlet,"Peyton, do I have the right to put on an ugly plaid jacket and a loud polka-dot tie and  walk down Main Street?",west_wing
1739,bartlet,Where in the Constitution is that right guaranteed?,west_wing
1740,bartlet,"What about the use of cream in my coffee? Surely, there can be no free speech argument  to be made there?",west_wing
1741,bartlet,So you have no objection to the state of New Hampshire passing a law banning use of cream  in coffee?,west_wing
1742,bartlet,As I lose the votes of coffee drinkers everywhere.,west_wing
1746,bartlet,"This Sam is young, drives me nuts too, but he took you off for a ride, sir, because that’s  what I told him to do.",west_wing
1747,bartlet,"I understand, Peyton. Could you give us a little time, please? We’ll make you comfortable  while you’re waiting.",west_wing
1749,bartlet,You don’t think the guy who called Sam wouldn’t know how to call a senator’s office?,west_wing
1757,bartlet,"I’m sure we’re almost done. Sam, what else you got?",west_wing
1758,bartlet,Did you have a drink yesterday?,west_wing
1759,bartlet,Are you gonna have one today?,west_wing
1760,bartlet,That’s all you ever have to say to me.,west_wing
1761,bartlet,"You fought in a war, got me elected, and you run the country. I think we all owe you  one, don’t you?",west_wing
1762,bartlet,Did Harrison get off okay?,west_wing
1763,bartlet,"I’ll bet it has.  Do you have any more questions, Sam?",west_wing
1765,bartlet,"Judge Mendoza, would it surprise you to learn that for the past few months, your name  has been in the short list of candidates for the bench?",west_wing
1766,bartlet,"Well, then this is gonna knock your socks off. Tomorrow evening at 5 o’clock, I am  naming you as my nominee to be the next associate justice of the United States Supreme  Court. You were not the first choice, but you are the last one, and the right one.   Will you accept the nomination?",west_wing
1767,bartlet,Thank you. Sam and Toby will be in charge of your confirmation.,west_wing
1769,bartlet,"What do you say, Leo? You up for a good fight?",west_wing
1770,bartlet,Good. Let the good fight begin.,west_wing
1819,bartlet,Oh that sounded pretty weak to me. Let’s try it again. ,west_wing
1820,bartlet,That’s better. Now who are all these people making a ruckus and tracking up my floor?   You! What’s your name?,west_wing
1821,bartlet,"And when are you gonna get taller, huh? What are you, fifteen, sixteen years old?",west_wing
1822,bartlet,"Well, all right then, you’re fine. All right, lets go. Come on, I’m a busy man. I am,  after all, the President of Bulgaria.",west_wing
1823,bartlet,"Now, wait a second. That’s not right. I’m not the President of Bulgaria. I am the  President of the Great Kingdom of Luxembourg.",west_wing
1824,bartlet,"Now hold on, I know I’m the President of something... ",west_wing
1825,bartlet,"Yes! Thank you. I am the President of the United States of America. Now, who has a question?",west_wing
1826,bartlet,My favorite part about being President?,west_wing
1827,bartlet,I’m doing it right now.  Who’s next? All right. ,west_wing
1828,bartlet, Wait. Hang on a second.,west_wing
1829,bartlet,"Okay.  Apparently, there’s a group of kids in the other room that I might  like better.",west_wing
1830,bartlet,Okay. Send some flowers. Then I’ll call his parents. ,west_wing
1831,bartlet,"Okay.  All right, now on with the questions. Now wait a minute, when you address me, please  bear in mind that you are speaking to His Royal Majesty, The King of all England.",west_wing
1852,bartlet,"Josh, what are you doing right now?",west_wing
1854,bartlet,"Seriously, take an hour and come with us.",west_wing
1856,bartlet,Oh I sneak out every now and then.,west_wing
1857,bartlet,"Yes, couple of agents, an unmarked black suburban. They tell the manager, they clear  the store, I’m in, I’m out. It’s like nothing ever happened.",west_wing
1858,bartlet,Did you know that there’s an underground tunnel out of here?,west_wing
1859,bartlet,I haven’t been able to find it even though I search almost everyday.,west_wing
1860,bartlet,"To a place called Rare Books, you know what they sell?",west_wing
1861,bartlet,Tell her to leave me alone. Sheila!,west_wing
1862,bartlet,This is a Christmas thing I’m doing Mandy; we don’t have to make hay out of it.,west_wing
1864,bartlet,"It’s Christmas, Josh! No reason we can’t do both. ",west_wing
1874,bartlet,"Oooh! “The Fables of Phaedrus,” 1886, first edition, red leather label, gilt lettering,  engraved frontice. Phaedrus, you know, who was a slave, but later granted his freedom  by Augustus, wrote his animal fables in iambic verse.",west_wing
1876,bartlet,"So, you won’t change your mind?",west_wing
1877,bartlet,So you’re gonna sit around in your hotel room by yourself?,west_wing
1878,bartlet,"Oh! So you’re gonna work on Christmas? Good, that makes me feel better.",west_wing
1879,bartlet,"Come to Manchester, stay at the house.",west_wing
1880,bartlet,"I wasn’t planning on doing that, but now that you suggest it.",west_wing
1881,bartlet,I’m not worried about it Leo.,west_wing
1882,bartlet,"It’ll be fine, these things can go away by themselves.",west_wing
1883,bartlet,I don’t want to talk about an exit strategy.,west_wing
1884,bartlet,I really don’t. It’s gonna be fine.,west_wing
1885,bartlet,"All right. You know Zoey is starting Georgetown in two weeks, I was thinking about  getting this for her. “The Nature of Things. A Viviscalic Poem Translated from the  Latin of Titus Lucrecius Carus.”",west_wing
1886,bartlet,Yeah. Because it’s got brown Moroccan spine labels.,west_wing
1887,bartlet,"All right, thanks.  Thank you all, Merry Christmas! ",west_wing
1888,bartlet,"“Life of Epicurus”, two volumes.",west_wing
1943,bartlet,Hello everybody. Welcome to The White House.  Joey. Welcome to the White House.,west_wing
1945,bartlet,"Merry Christmas, Nancy. ",west_wing
1947,bartlet,Apparently I’ve arranged for an honor guard for somebody.,west_wing
1949,bartlet,"No, no, just tell me, is there anything else I’ve arranged for? We’re still in NATO, right?",west_wing
1951,bartlet,"Toby, you’re not responsible... ",west_wing
1953,bartlet,"Toby, if we start pulling strings like this, you don’t think every homeless veteran  would come out of the woodworks? ",west_wing
1967,bartlet,Keep your seats.  Admiral Fitzwallace?,west_wing
1968,bartlet,Is it clear what India’s objective is?,west_wing
1969,bartlet,"When you say “the Indian army,” what are we talking about?",west_wing
1970,bartlet,Five guys in a Humvee? What?,west_wing
1971,bartlet, In the last twenty-five minutes?,west_wing
1972,bartlet,"300,000 is an awfully large piece of troop movement to have been on a whim.",west_wing
1973,bartlet,All I’m trying to do right now? I’m trying to avoid making eye contact with the CIA Director.,west_wing
1974,bartlet,"300,000 troops? I can’t move my motorcade from K Street to Connecticut without it showing  up on a weather satellite.",west_wing
1975,bartlet,"Pick it up again, would you please?",west_wing
1976,bartlet,Any chance this is an exercise?,west_wing
1977,bartlet,"Oh, I wouldn’t worry about that, that’s probably not important information.",west_wing
1978,bartlet,"All right. I’m ordering the Crisis Task Force activated, and I want you to prepare to  give me a national security briefing. Thank you.",west_wing
1984,bartlet,"I’ve already had words. TOBY, the U.N. Security Council is meeting in an emergency  session to try to affect a cease-fire.",west_wing
1987,bartlet,"They didn’t exactly miss them. In fact, they’ve got a very good photo now.",west_wing
1990,bartlet,"Toby, how much do you know about India and Pakistan?",west_wing
2008,bartlet,"Well, we’ve got ourselves a ballgame.",west_wing
2045,bartlet,"Well, bring in Dr. Strangelove and we’re all set.",west_wing
2046,bartlet,There’s an India expert I want to bring in.,west_wing
2047,bartlet,You guys are gonna love him.,west_wing
2048,bartlet,"Lord John Marbury, former ambassador to New Delhi from the Court of Saint James.",west_wing
2049,bartlet,We can hide the women. But the man deserves a drink.,west_wing
2050,bartlet,Let’s get him on a plane.,west_wing
2078,bartlet,This ought to be delightful.,west_wing
2079,bartlet,"Thanks for staying late, Charlie.",west_wing
2080,bartlet,My daughter asked you out?,west_wing
2081,bartlet,I should have locked her in the dungeon.,west_wing
2082,bartlet,I could have built one.,west_wing
2083,bartlet,"Charlie, you have picked the absolute worst time in the world to talk to me about this.",west_wing
2084,bartlet,Yes.  He wants to go out with Zoey.,west_wing
2085,bartlet,"Thank you for seeing us so late, and on such short notice.",west_wing
2086,bartlet,"Mr. Ambassador, it is crucial that we join together to bring about a cease-fire and  then a pullback, in Kashmir, before this conflict takes another escalating step.",west_wing
2087,bartlet,"Well, this just keeps getting better and better.",west_wing
2092,bartlet,"Please, sit down. We’ve been trying to phone your Prime Minister without any luck.  Can you help us out there?",west_wing
2093,bartlet,"Mr. Ambassador, I stood at a podium this morning, and I publicly condemned the incursion  by Indian forces.",west_wing
2094,bartlet,My condemnation might have been stronger if my State Department didn’t feel that the  Indian action was provoked.,west_wing
2095,bartlet,You deny there has been Pakistani movement in the Neutral Zone?,west_wing
2096,bartlet,Hang on. Look. The U.S. is committed to finding a reasonable solution to the dispute.,west_wing
2097,bartlet,"Whatever the language, I know that you will agree with me that we have to find a way  for these two countries to exist together in a global community.",west_wing
2098,bartlet,I’d imagine the Indian ambassador is going to say roughly the same thing about you.,west_wing
2099,bartlet,Yes.  Thank you for coming.,west_wing
2100,bartlet,I’ll take the Indian ambassador in the Oval Office.,west_wing
2101,bartlet,"And then if you could just ask the Secret Service to step in and kill me, please.",west_wing
2102,bartlet,Zoey just walked right up to him and asked him out.,west_wing
2103,bartlet,"See, but a dungeon would have put an end to that.",west_wing
2104,bartlet,I think you’re trying to cover up the fact that you’re enjoying this.,west_wing
2105,bartlet,I don’t have a racial problem.,west_wing
2106,bartlet,I’m Spencer Tracy at the end of “Guess Who’s Coming to Dinner.”,west_wing
2107,bartlet,"My problem is not that she’s white, he’s black, it’s that she’s a girl and he’s not.  To say nothing of he’s older than she is.",west_wing
2108,bartlet,"Yeah, but a guy learns a lot in those two years.",west_wing
2109,bartlet,Tracy was good in that movie.,west_wing
2110,bartlet,"I was looking a lot better before your country breached about fourteen cease-fire  conditions without so much as a phone call, so let’s sit down and talk. Charlie,  please close the door.",west_wing
2116,bartlet,"My frustration, Mr. Ambassador, is that both you and the Pakistanis have nuclear weapons  and a tendency to get cranky.",west_wing
2117,bartlet,"Well, it was nice spending this time with you.",west_wing
2118,bartlet,"Every time he talks about colonial Western imperialism, I always want to remind him  that the United States is also a revolutionary country that threw off its colonial masters.",west_wing
2119,bartlet,Thank you for coming. How was your flight?,west_wing
2120,bartlet,"We need your take on the situation, John.",west_wing
2121,bartlet,The world is coming apart at the seams.,west_wing
2133,bartlet,I want to ask him to stay a little bit and help us out.,west_wing
2134,bartlet,You two are going to become good friends.,west_wing
2135,bartlet,"For the first couple of weeks, so did I.",west_wing
2139,bartlet,Is he still on the phone?,west_wing
2140,bartlet, There’s a quote from Revelations I’m trying to remember.,west_wing
2141,bartlet,"Say, listen. My hesitation about your going out with Zoey before, you know, it’s not  ‘cause you’re black.",west_wing
2142,bartlet,"Still, I want you to go out with her if that’s what you both want to do.",west_wing
2143,bartlet,"Just remember these two things: She’s nineteen years old, and the 82nd Airborne works for me.",west_wing
2144,bartlet,"Also this - no kidding. You go out with Zoey, you’re gonna get your picture taken.  There’s gonna be a lot of people not wild about the sight of you and the President’s  daughter. You know what to do with the mail, right?",west_wing
2145,bartlet, All right. You keep your head up.,west_wing
2146,bartlet,Should have built a dungeon.,west_wing
2147,bartlet," Revelations. It’s about a horse,  and Death was riding on it maybe.",west_wing
2148,bartlet,"Ah, good, I want you all to meet John.",west_wing
2149,bartlet,Don’t you ever forget the battles you’ve fought and won.,west_wing
2150,bartlet,That’s what I’d heard. But all they got was two weeks.,west_wing
2151,bartlet,"John, I was hoping you’d stick around for a couple of days and help us out.",west_wing
2152,bartlet,"John, there’s a quote from Revelations...",west_wing
2153,bartlet,"Are you frightened, John?",west_wing
2154,bartlet,"With nearly 18 million new jobs, wages rising at more than twice the rate of inflation,  the highest home ownership in history, the smallest welfare rolls in 30 years and the  lowest peacetime unemployment since 1957.  I stand before you to report that  America has created the longest peacetime economic expansion in our history. For the  first time in three decades, the budget is balanced. From a deficit of 290 million  dollars just ten years ago...",west_wing
2156,bartlet," From a deficit of 290 billion dollars, just ten... it says “million”  on the TelePrompTer, by the way.",west_wing
2164,bartlet,"...And how do we make the American dream of opportunity a reality for all? I came to  this hallowed chamber one year ago, and I see we’re spelling “hallowed” with a pound  sign in the middle of it.",west_wing
2165,bartlet,The pound sign’s silent?,west_wing
2166,bartlet,"I came to this hallowed chamber one year ago on a mission: to restore the American  dream for all our people, as we gaze at the vast horizon of possibilities open to us  in the 321st century... Wow, that was ambitious of me, wasn’t it?",west_wing
2167,bartlet,"We meant “stronger” here, right?",west_wing
2168,bartlet,I’m proud to report our country’s stranger than it was a year ago?,west_wing
2169,bartlet,Why is everyone asking me that today?,west_wing
2173,bartlet,"I’m taking many things, C.J.",west_wing
2174,bartlet,I don’t know. My wife hands me pills. I swallow them with water.,west_wing
2175,bartlet,Vitamin C. Vitamin B. Is it possible I’m taking something called 'euthanasia'?,west_wing
2176,bartlet,"Ah, that sounds more like it... Toby?",west_wing
2178,bartlet," You know, carrying them around in my pocket was a pretty big step for me.",west_wing
2180,bartlet,“How do we make the American dream a reality for all who work for it.” ,west_wing
2181,bartlet,"You got to add, “who work for it.”",west_wing
2190,bartlet,"It’s what they’re listening for in welfare reforms, so screw it.",west_wing
2192,bartlet,"Damn, Toby, ‘cause you’re exactly who I was gonna come running to.",west_wing
2194,bartlet,"Well, I’m gazing in the 321st century, man. There’s a lot on my mind.",west_wing
2195,bartlet,"Oh, dear God. I will take the pills, C.J.",west_wing
2197,bartlet,"Yes. I will go to the Oval Office, and pour a glass of water from the Steuben glass  pitcher, which was a gift from the Christian Charity Network there, Skippy.",west_wing
2198,bartlet,"I’m just saying, before you start calling me, Ebenezer Bartlet, remember, I got a  really nice glass pitcher for just, you know, being a good guy.",west_wing
2200,bartlet, I will take the pills.,west_wing
2203,bartlet,I don’t need a cardiogram.,west_wing
2204,bartlet,"I didn’t have a heart attack, Leo. I got the flu, and I don’t need a cardiogram.",west_wing
2205,bartlet,"Thank you, Mrs. Landingham... Mrs. Landingham how do I look to you?",west_wing
2207,bartlet,101.9 and I still got it.,west_wing
2208,bartlet,Anybody know if the Celtics won tonight?,west_wing
2209,bartlet,It was a two-week cease-fire. There’s four days left.,west_wing
2210,bartlet,What’s Intel saying about the Pakistanis?,west_wing
2211,bartlet,I’m going to bed. But somebody call me if there’s movement.,west_wing
2220,bartlet," It tested very well. I’m not saying we’re doing it, Toby. I just want to  try it and see how it reads. The era of big government is over... All right. Thanks.",west_wing
2221,bartlet,I’m feeling roughly the same as I was feeling when you asked me four minutes ago.,west_wing
2222,bartlet,"It’s okay. This isn’t the worst of it, Charlie. The worst of it’s coming up the stairs  right now.",west_wing
2223,bartlet,I was wondering when you were gonna notice me.,west_wing
2224,bartlet,You’re very sexy when you’re in doctor mode you know that? Give me an IV/saline  solution and 100 milligrams of Flumadine. Stat.  I could jump you right now.,west_wing
2225,bartlet,Fitzwallace called me in the Situation Room. There was more movement in Kashmir.,west_wing
2226,bartlet,I broke the Steuben glass pitcher in the Oval Office.,west_wing
2227,bartlet,"Seriously, Abbey, I’m fine.",west_wing
2228,bartlet,I really don’t remember.,west_wing
2229,bartlet,Fitzwallace says the Pakistanis are giving command control to some nuclear weapons  to the field.,west_wing
2230,bartlet,I’m really sorry about the pitcher.,west_wing
2231,bartlet,I could jump you right now.,west_wing
2244,bartlet,Can I go to the office?,west_wing
2245,bartlet,Here’s the thing though. I never really saw you study while you were in med school.,west_wing
2246,bartlet,Do you even know what you’re listening for right now? ,west_wing
2247,bartlet,I’m going to the office.,west_wing
2248,bartlet,Alright. I think I’ll stay here for a little bit.,west_wing
2262,bartlet,I don’t understand. Don’t any of these characters have jobs?,west_wing
2263,bartlet,They seem to have a lot of free time in the middle of the day.,west_wing
2264,bartlet,And that woman’s changed her clothes for quite a lot in one afternoon.,west_wing
2265,bartlet,"Yeah. Would you mind stepping out, Charlie?",west_wing
2266,bartlet,"Abbey phoned me up and told me about your conversation. I was diagnosed about seven years  ago. My life expectancy is normal. My particular course of MS is relapsing-remitting,  which means I should experience total recovery after attacks. Abbey gives me injections  of something called Betaseron, and that reduces the frequency. Fever and stress tend to  be two things that induces attacks.",west_wing
2267,bartlet,You haven’t called me “Jed” since I was elected.,west_wing
2268,bartlet,‘Cause I wanted to be the President.,west_wing
2269,bartlet,"When you stood up there today, I was so proud. I wanted to be with you.",west_wing
2270,bartlet,"I tried to get up, but I fell back down again.",west_wing
2271,bartlet," I’m so sorry, Leo. I really am.",west_wing
2272,bartlet,"Yeah, give us a minute, would you please?",west_wing
2277,bartlet,And a strong shot of whiskey?,west_wing
2278,bartlet,"What have you got for me, John?",west_wing
2279,bartlet,"Your friend, the prime minister?",west_wing
2280,bartlet,He’s gonna go for this?,west_wing
2281,bartlet,"All right, you tell the ambassador we’ll discuss this in three months. In three months,  John. I don’t want this to be like quid pro quo.",west_wing
2282,bartlet,"That’s the carrot. Leo, what’s the stick?",west_wing
2283,bartlet,"They put command-control in the field, John, and we’re gonna get physical. You make damn  sure they know that.",west_wing
2284,bartlet,Talk to the ambassador. I want Fitzwallace to have photos in 24 hours.,west_wing
2286,bartlet,Much better. Thank you.,west_wing
2287,bartlet,"You know, I was watching a television program before with a sort of a roving moderator  who spoke to a seated panel of young women who are having some sort of problems with  their boyfriends. Apparently, because the boyfriends have all slept with the girlfriend’s  mothers. Then they brought all the boyfriends out and they fought right there on television.  Toby, tell me, these people don’t vote, do they?",west_wing
2290,bartlet,"What do you need, Josh?",west_wing
2293,bartlet,You want to cut the line?,west_wing
2295,bartlet,"I think so, too.  What do you think, Josh?",west_wing
2297,bartlet,Then you and Sam get your people together and get to work.,west_wing
2304,bartlet,You’ve taken it 14 times in the last three hours. You’re not taking it again.,west_wing
2305,bartlet,At least not with a thermometer.,west_wing
2306,bartlet,I’m saying if you want to take it recreationally...,west_wing
2307,bartlet,I stopped asking those questions.,west_wing
2315,bartlet,"Godspeed, your Lordship.",west_wing
2316,bartlet,"Friends, let me have your attention please. A lot of time, energy, passion, wit, skill,  and talent went into drafting this, and while you might not know it from my delivery  later, this is an extraordinary speech. And I say thee yea! Toby Ziegler, and I say  thee yea! Sam Seaborn!",west_wing
2317,bartlet,"Roger, I’m sorry you drew the short straw on this. We’ll miss you tonight. Next year,  it’ll be the surgeon general, I promise. Meanwhile, you can watch TV at my study.",west_wing
2318,bartlet," “He shall, from time to time, give to the Congress information on the state of  the union and recommend to their consideration such measures as he shall judge necessary  and expedient.”",west_wing
2319,bartlet,"Oh, Roger, if anything happened, you know what to do, right?",west_wing
2320,bartlet,"First thing always is national security. Get your commanders together. Appoint joint  chiefs. Appoint chairman. Take them to Defcon 4. Have the governor send emergency  delegates to Washington. The assistant attorney general is gonna be the acting A.G.  If he tells you he wants to bring out the National Guard, do what he tells you.",west_wing
2321,bartlet,You have a best friend?,west_wing
2322,bartlet,Is he smarter than you?,west_wing
2323,bartlet,Would you trust him with your life?,west_wing
2324,bartlet,That’s your chief of staff.,west_wing
2325,bartlet,"Oh, in the residence, in the second floor, the bathroom at the end of the hall.  You have to jiggle the handle a little.",west_wing
2326,bartlet,I got to go.  You’ll do fine. People have phenomenal capacity.,west_wing
2407,bartlet,"I don't want to spend the whole day talking about bananas. Good morning Nancy, good  morning Mrs. Landingham. ",west_wing
2408,bartlet,I really don't want a banana. ,west_wing
2409,bartlet,I'm done talking to you now. ,west_wing
2410,bartlet,"Good Morning everyone. Sit down, sit down please. ",west_wing
2411,bartlet,Are we a poor Latin American country? ,west_wing
2412,bartlet,Then why am I having this conversation? ,west_wing
2413,bartlet,I'm in trouble with Chiquita and Dole? ,west_wing
2414,bartlet,"We have appointed five people to the Corporation for Public Broadcasting. Republicans  in the House, as well as an alarming number of Democrats, have been holding up those  appointments. ",west_wing
2416,bartlet,"As far as I can tell, their reluctance has little, if anything, to do with bananas. ",west_wing
2422,bartlet,You're going to sit with them? ,west_wing
2424,bartlet,And talk to the father. ,west_wing
2425,bartlet,"The mother too, but I'm concerned about the father. ",west_wing
2428,bartlet,This is no time to out a guy in front and center who's embarrassed that his son was gay. ,west_wing
2431,bartlet,I haven't had chance yet. ,west_wing
2433,bartlet,Give me a chance to look it over and we'll talk at the end of the day. ,west_wing
2434,bartlet,"Josh and Sam, wait up a second. Leo, don't go away.  Excuse us a second. Thank you. ",west_wing
2435,bartlet, What time are you going up to the Hill? ,west_wing
2436,bartlet,"I want to pre-empt a hearing. I don't want it. I don't want it for Leo. I don't want  it for his family. I don't want it for us. They know that, and they're gonna play ""Let's  Make a Deal."" Don't take anything off the table until you've talked to me. You understand? ",west_wing
2437,bartlet,"Okay. Unless a war breaks out, I'll be spending much of my day talking about bananas. ",west_wing
2439,bartlet,Alright.  Is Simon Blye coming in to meet with  you today? ,west_wing
2440,bartlet,I broke into your secret schedule compartment and took infrared photos with my compact  camera.  ,west_wing
2441,bartlet,"Margaret told me. Look, why are you meeting with that man? ",west_wing
2442,bartlet,"In good times, Leo. It's not hard to like a guy when he's doing well. The measure of a  man is, how does he behave when things are otherwise? ",west_wing
2443,bartlet,"That you couldn't get from me? Or Toby, or Josh, or Sam, or C.J.? ",west_wing
2444,bartlet,"You put a lot of faith in people, Leo, and I love you for that. I just don't want to  see you get disappointed. ",west_wing
2465,bartlet,"""By the age of 14, more than 25 percent have touched a girl's..."" I won't say that word.   ",west_wing
2466,bartlet,Because I'd rather not be in therapy for the rest of my life. ,west_wing
2484,bartlet,You're not going to believe this but I think I'd actually like a banana. ,west_wing
2485,bartlet,"Thank you, Mrs. Landingham. ",west_wing
2486,bartlet,She withholds food from me. ,west_wing
2488,bartlet,We're gonna leave it alone for a while. ,west_wing
2489,bartlet, After the midterm elections. ,west_wing
2492,bartlet,It's a pretty incendiary report. ,west_wing
2494,bartlet," It's not gonna play well at a PTA meeting, C.J.  It says we should be teaching kids to have sex. ",west_wing
2496,bartlet,Of course it doesn't. But that's how it's going to play. ,west_wing
2499,bartlet,"C.J., getting it through this congress, a body which at the moment, will only give federal  funding to sex education programs that teach abstinence only. ",west_wing
2501,bartlet, And we will avail ourselves of that pulpit but we will do it after  the midterm elections. ,west_wing
2503,bartlet,"I needed to get Leo off the hook, C.J. ",west_wing
2505,bartlet,Yes. We'll deal with it after the midterm elections. ,west_wing
2506,bartlet, I was hoping you would. ,west_wing
2508,bartlet,"Yeah. Well there's nothing wrong with telling them we got it. I wouldn't make a big deal  out of it. We got it, we're looking at it, we're studying it. Throw it out with the trash. ",west_wing
2545,bartlet,I was helping pass the time. I was being entertaining as well as instructive.,west_wing
2547,bartlet,Leo! What’re you doing here?,west_wing
2549,bartlet,Aww. You don’t know how to have fun when we’re traveling...,west_wing
2585,bartlet,We got to get Mendoza on the bench.,west_wing
2586,bartlet,Why is it my problem at all?,west_wing
2587,bartlet,The governor of Michigan.,west_wing
2588,bartlet,Which allows for the death penalty in certain drug related homicides.,west_wing
2589,bartlet,"Okay, I’ll wait for that then.",west_wing
2590,bartlet,I’m gonna want to see our people over the next few days.,west_wing
2591,bartlet,"I’m not going to be very good at this, Leo.",west_wing
2592,bartlet,"Charlie, there’s a priest in Hanover. His name is Thomas Cavanaugh. He’s at the  Immaculate Heart of Mary. I’d like to arrange to have him come down and spend some  time with me this weekend. Very important that the White House not pay for this. This  is my nickel.",west_wing
2593,bartlet,And I’m gonna want to... ,west_wing
2594,bartlet,"No. No, never mind.  Yeah. I’m gonna want to talk to the Pope.",west_wing
2595,bartlet," I’m gonna ask you a question. And this is one of  those times that it’s okay to tell me I’ve stepped over the line, and I should shut  my mouth, okay. ",west_wing
2596,bartlet,What happened to the guy who shot your mother?,west_wing
2597,bartlet,"If they did, would you wanna see him executed? ",west_wing
2598,bartlet,Killing a police officer’s a capital crime. I figured you must have thought about it.,west_wing
2611,bartlet,I was just wandering the halls and thinking.,west_wing
2613,bartlet, You ever seen the White House?,west_wing
2616,bartlet,Is that short for Joanne?,west_wing
2617,bartlet,And your last name is Lucas?,west_wing
2618,bartlet,"Well, this is the Oval Office. Come in, please. Sit down. ",west_wing
2619,bartlet,"Well, where did you go to school?",west_wing
2620,bartlet,There’s a guy named Simon Cruz on death row. He’s going to be executed in about 36  hours. What do you think I should do? ,west_wing
2621,bartlet,He was found guilty of a double murder and drug trafficking.,west_wing
2622,bartlet,You’re against capital punishment.,west_wing
2623,bartlet,Did you study St. Augustine at Stanford?,west_wing
2624,bartlet,"Two pretty smart guys, right?",west_wing
2625,bartlet,"They believed in that part of the Old Testament which said, “Who sheddeth a man’s  blood by man shall his blood be shed.”",west_wing
2626,bartlet,I’ve got a Harris poll says seventy-one percent of the American people support capital  punishment.,west_wing
2628,bartlet,In the California forty-sixth?,west_wing
2629,bartlet,O’Dwyer’s an empty shirt.,west_wing
2630,bartlet,"I don’t like guys who run for congress because they think it’s a great gig. Find  yourself a live one and I’ll get interested. In the meantime, the devil you know  beats the devil you don’t. And I like the devil I got.",west_wing
2631,bartlet,Josh will take care of you from here.,west_wing
2653,bartlet,Fine. What do you need?,west_wing
2655,bartlet,Jewish law doesn’t prohibit...,west_wing
